pearlcatScarfA0|珍珠猫围巾A0
\r\n|\r\n
T1_CAR1|T1_CAR1
Start Shelter Override|开始避难所覆盖
Pearlpup Respawn?|珍珠幼崽重生？
pearlcat_light2|珍珠猫_light2
...one which still means a lot to me.|...对我来说仍然意义重大。
Elliot|Elliot
Player 4|玩家 4
Transit System|交通系统
Efi|Efi
pearlactive|珠光活性
Cloak|披风
CloudDistant|云远方
Keybind for Keyboard.|键盘的按键绑定。
NON-MSC|非MSC
YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|黄色象征保护。每储存一颗黄色珍珠都会提供护盾费用
Swap Input|交换输入
ModManager.RefreshModsLists:\n|ModManager.RefreshModsLists:\n
oa_cutoff_dist|oa_cutoff_dist
I will tolerate your pressence, so long as you bring me something meaningful.|我会容忍你的存在，只要你能给我带来一些有意义的东西。
LC_T1_S01|LC_T1_S01
I assure you it will be a more than suitable replacement for your primitive needs.|我向您保证，它将非常适合您的原始需求的替代品。
3: |3：
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle.|选中后，将库存设置为每个周期下方指定的彩色珍珠数量。
Debug|调试
.  .  .|。 。 。
-------------------|-------------------
_textures|_纹理
T1_START|T1_START
TEXT ERROR|文本错误
Balagaga|Balagaga
T1_END|T1_END
Ability Input|能力输入
I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|我仍然非常乐意阅读你带给我的任何珍珠；<LINE>尤其是考虑到你独特的能力。
oa_min_speed|oa_最小速度
#|#
I already read this one. I can read it again, I suppose.|我已经读过这一篇了。我想我可以再读一遍。
AS|作为
\nCorridorClimb |\n爬廊
ear_l_offset|耳左偏移
Chimney Canopy|烟囱顶篷
1.0.0|1.0.0
Disable Camoflague Effect?|禁用迷彩效果？
...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...你有沟通的天赋！<LINE>也许你拜访了我的邻居，五颗卵石...？
Hello again, <PlayerName>!|再次问好，<玩家名>！
4: |4：
Think of this mutually, I can 'see' a little further outside this can...|互相想想，我可以‘看到’这个罐子外面更远一点……
When checked, all tutorials will be disabled.|选中后，所有教程都将被禁用。
Press (JUMP + GRAB) while in the air to perform a double jump|在空中按下 (JUMP + GRAB) 可进行二段跳
T1_CAR3|T1_CAR3
)|）
pearlactiveplaceholder|珍珠活性占位符
Inventory Pings?|库存 ping 值？
pearlcat_dusksky|珍珠猫_黄昏
Keybind for Player 2.|玩家 2 的按键绑定。
tail_segment_velocities|尾段速度
DESTROY|破坏
OnModsInit:\n|OnModsInit:\n
sleeve|袖子
store_object_delay|存储对象延迟
Trigger Player|触发播放器
LOAD SAVE DATA IN PLAYER MODULE|在播放器模块中加载保存数据
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|敏捷珍珠数量（蓝色）。仅在库存覆盖时有效？已检查。
I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|我想您对这些珍珠唯一看重的就是它们的晶格有多纯净？我会用比这更精致的人代替你。
Assembly-CSharp|汇编-CSharp
_atlases|_地图集
pearlcat_structure1|珍珠猫_结构1
...oh? Take them, the data they contain is worthless to me. I suppose they'd be far more useful to you...|...哦？拿走它们，它们包含的数据对我来说毫无价值。我想它们对你来说会更有用......
Right Bumper|右保险杠
by |经过
Oh, and for direction - there is a gate to the far west of here, where the ground fissues...|哦，还有方向——这里的最西边有一扇门，那里的地面裂开……
pearlactivehalo|珍珠活性光环
SS_AI|SS_AI
face|脸
Number of camo pearls (black). Effective only when Inventory Override? is checked.|迷彩珍珠数量（黑色）。仅在库存覆盖时有效？已检查。
PLAYTESTERS|游戏测试员
Player 2|玩家2
So curious...|太好奇了...
soundeffects/ambient|音效/环境
Hold (GRAB) with an active common pearl to convert it into a pearl spear|按住（抓取）一颗活跃的普通珍珠，将其转变为珍珠矛
SB|SB
RW_Outro_Theme|RW_尾奏_主题
...you can manipulate our storage medium in unforseen ways...|...您可以以不可预见的方式操纵我们的存储介质...
pearlpup_scarf|珍珠小狗围巾
oa_cutoff_max_speed|oa_cutoff_max_speed
To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|要取回珍珠，请空着主手，然后按住 (GRAB + UP)
Futile_White|徒劳_白色
View|看法
min_tail_offset|最小尾部偏移量
TurtleMan27|TurtleMan27
PEARLCAT WARP|珍珠猫经纱
The Pearlcat|珍珠猫
Pebbles_AS_PearlGreen|卵石_AS_珍珠绿
-|-
head|头
Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|矛创造珍珠的数量（白色）。仅在库存覆盖时有效？已检查。
Revive Pearl Count|复活珍珠伯爵
YOU!|你！
pearlcat_1|珍珠猫_1
...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|……你吃了……我。请走开。我不会……跟你说话。<LINE>我……不能和你说话……因为……你吃了……我……为什么？
Disable Tutorials?|禁用教程？
Music|音乐
pearlcat_hudcircle|Pearlcat_hudcircle
And a third? So it is...|还有第三个？所以它是...
ear_l|伯爵
...and you can gather more of that data you so clearly desire.|...您可以收集更多您明确想要的数据。
Brought me something to read? Or just wasting my time, as per usual?|给我带来了一些东西来读？或者像往常一样只是浪费我的时间？
CANNOT PLAY\n|无法播放\n
BigGlyph10|大字形10
pearlpup_face|珍珠小狗脸
Hips|臀部
When checked, disables the revive effect granted by an active pearl.|选中后，会禁用活跃珍珠所赋予的复活效果。
oa_max_fric_speed|oa_最大摩擦速度
pearlcat_daysky|珍珠猫_daysky
Intended to make gameplay more challenging, may change gameplay significantly!|旨在使游戏玩法更具挑战性，可能会显着改变游戏玩法！
OE|OE
Keybind to swap to the stored pearl to the left. Limited to Player 1.|按键绑定以交换到左侧存储的珍珠。仅限玩家 1。
Yes, help yourself. They are not edible.|是的，帮助自己。它们不可食用。
SU|苏
Geahgeah - Artwork|Geahgeah - 艺术品
pearlcat_structure3|珍珠猫_结构3
Hello, again. You are very curious. Very curious indeed.|再一次问好。你很好奇。确实很好奇。
Sound Hooks Error:\n|声音挂钩错误:\n
Button West|巴顿·韦斯特
pearlcatFeetA0|珍珠猫脚A0
My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|我的监督者对你的到来并不满意——我的印象是交通系统几乎无法运行。
I do enjoy the company though... it gets lonely out here.|不过我确实很喜欢有人陪伴……这里会很孤独。
If you do not plan to provide me with any meaningful data, that is your best course of action;|如果您不打算向我提供任何有意义的数据，那是您最好的做法；
GravityDisruptor|重力干扰者
BM_SS_DOOR|BM_SS_DOOR
DistantBkgObjectAlpha|远程BkgObjectAlpha
active_object_offset|活动对象偏移量
\nDoes not save over the current inventory - it is returned to when unchecked.|\不保存当前库存 - 未选中时返回。
) while in the air to perform a double jump|) 在空中进行二段跳
Compact Inventory HUD?|紧凑库存 HUD？
pearlcat_spire2|Pearlcat_spire2
pearlcat_hudcooldown|Pearlcat_hudcooldown
Your biology... it is both familiar and foreign to me. How curious.|你的生物学……对我来说既熟悉又陌生。多么好奇啊。
SH|SH
oa_min_time|oa_min_time
pearlcat_9|珍珠猫_9
q|q
strange|奇怪的
BigGlyph6|大字形6
Keybind to swap to the stored pearl to the right. Limited to Player 1.|按键绑定以交换到右侧存储的珍珠。仅限玩家 1。
I do enjoy the company of you and your friend though, <PlayerName>.|不过，我确实很喜欢和你和你的朋友在一起，<玩家名字>。
T1_CAR2|T1_CAR2
To retrieve pearls, have an empty main hand, and hold (|要取回珍珠，请空着主手，然后按住 (
When checked, the inventory HUD will be replaced with a more compact version.|选中后，库存 HUD 将替换为更紧凑的版本。
1.0.0.0|1.0.0.0
pearlcat_spire9|Pearlcat_spire9
Disable Rage Effect?|禁用愤怒效果？
Cloud|云
Player 3|玩家3
pearlcatSleeve0|珍珠猫袖0
Keyboard|键盘
moreslugcats|更多鼻涕虫
) with an active common pearl to convert it into a pearl spear|）用一颗活跃的普通珍珠将其转化为珍珠矛
pearlcat_spear|珍珠猫_矛
Keybind for Player 4.|玩家 4 的按键绑定。
TheSacrifice|牺牲
Clearly artificial creations. But from where? Sent by who?|明显是人工创作。但从哪里来呢？由谁发送的？
Head|头
You... I didn't forget...|你……我没有忘记……
Hold (|抓住 （
pearlcat_spire5|Pearlcat_spire5
Storage limit reached (|已达到存储限制（
MSC|MSC
CC|抄送
The expanse beyond would be a safe place for you to raise your family - and to stay far away from my business.|远处的广阔空间将是你养家糊口的安全之地，并且远离我的生意。
Difficulty|困难
pupear_l|pupear_l
pearlcat_2|珍珠猫_2
Store Input|存储输入
You. Again. I still remember what you did...|你。再次。我还记得你所做的事...
And now here you are, with a perfect copy.|现在您就在这里，拥有一份完美的副本。
pearlcat_structure2|珍珠猫_结构2
Rage Pearl Count|愤怒珍珠伯爵
The power you possess, it is fascinating. I have never seen anything quite like it from your kind.|你所拥有的力量，令人着迷。我从来没有在你们那里见过类似的东西。
Basic|基本的
ACK|确认
Special thanks to the following people!|特别感谢以下人士！
If only I had my memories, I might have a clue...|如果我有记忆的话，我也许能找到线索……
1: |1：
... |...
Press (|按 （
Accent|口音
pearlcat_light0|珍珠猫_light0
GW|GW
PlayerArm|玩家手臂
I must resume my work. I will be waiting here, as always.|我必须继续工作。我会一如既往地在这里等待。
pearlcat_spire3|Pearlcat_spire3
VS|VS
BigGlyph8|大字形8
Pearl Threat Music?|珍珠威胁音乐？
Please... this all I have left... you have so much... ...why take mine?|求求你……我只剩下这些了……你有这么多……为什么要拿走我的？
I very much enjoy the company though... you and your little friend are always welcome here.|不过，我非常喜欢这个公司……这里随时欢迎您和您的小朋友。
And just who might you be?|你到底是谁？
GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|绿色象征着活力。每个储存的每颗绿色珍珠可以在每个周期复活一个生物，包括你
T1_CAREND|T1_CAREND
When checked, disables the spear creation effect granted by an active pearl.|选中后，禁用活跃珍珠所赋予的矛创造效果。
Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|消耗电荷以提供保护。一段时间后，每颗珍珠都会单独补充电量
Noir - Floppy Ears, Scarf|Noir - 软耳朵、围巾
Number of rage pearls (red). Effective only when Inventory Override? is checked.|愤怒珍珠的数量（红色）。仅在库存覆盖时有效？已检查。
MS|多发性硬化症
Slugcat_Pearlcat_Sleep|Slugcat_Pearlcat_Sleep
When checked, overrides the starting pearls with the option below. Only effective at the start of a new game, unlike Inventory Override?|选中后，将使用以下选项覆盖起始珍珠。与库存覆盖不同，仅在新游戏开始时有效？
Another one? I shouldn't be surprised. Let's see...|另一个？我不应该感到惊讶。让我们来看看...
Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|每颗红色珍珠都会提供额外的激光 - 是的，这些蝙蝠蝇非常敌对！
pearlcat_structure6|珍珠猫_结构6
 - |-
I remember this one... don't you? Well...|我记得这个……你不记得吗？出色地...
pearlcat_6|珍珠猫_6
pupear_r|pupear_r
Oracle Hooks Error:\n|Oracle 挂钩错误:\n
Read this one too? Yes, yes, here it is...|也读这一本吗？是的，是的，这里是……
_windDir|温莎
pearlcat_spire1|Pearlcat_spire1
Grab a creature and hold (GRAB) with an active green pearl to revive them|抓住一个生物并用活跃的绿色珍珠按住（GRAB）以复活它们
Swap Right|右交换
DistantBkgObject|远距离对象
Welcome back, I suppose.|欢迎回来，我想。
A scholar of obscure origin, armed with an enigmatic energy and a thirst for knowledge.<LINE>Physically frail, but with pearls as your ally - what will you discover on your travels?|出身不明的学者，拥有神秘的能量和对知识的渴望。<LINE>身体虚弱，但有珍珠作为你的盟友 - 你会在旅途中发现什么？
SL|SL
Failed to parse color {objectType} : {ex.Message}|无法解析颜色 {objectType}：{ex.Message}
Pebbles_SS_Pearlcat|卵石_SS_Pearlcat
UW|华盛顿大学
haloGlyph6|光晕字形6
Pebbles_AS_PearlRed|Pebbles_AS_PearlRed
Release|发布
Ah, I hope you both stay safe out there...|啊，希望你们俩在外面注意安全……
BLUE symbolizes agility. Each blue pearl stored will provide an additional double jump|蓝色象征着敏捷。每储存一颗蓝珍珠都会提供额外的二段跳
max_tail_offset|最大尾部偏移量
_AboveCloudsAtmosphereColor|_AboveCloudsA​​tmosphereColor
pearlcat_8|珍珠猫_8
PostModsInit:\n|PostModsInit:\n
Slugcat_Pearlcat_Ascended|Slugcat_Pearlcat_Ascended
Back again? I hope you have brought me something this time.|再次回来？我希望这次你给我带来了一些东西。
sweat|汗
Prefer to use the custom keybinds below for agility double jump.|更喜欢使用下面的自定义键绑定来实现敏捷二段跳。
When checked, most pearls (when active) will force the threat theme for all regions to the theme of the region they were originally from.|选中后，大多数珍珠（激活时）会将所有区域的威胁主题强制为它们原来所在区域的主题。
Custom Spear Keybind?|定制矛键绑定？
...there.|...那里。
I do not know what to make of this.|我不知道该怎么办。
Another? And I shall read this one to you as well...|其他？我也将读这一篇给你听......
com.rainworldgame.garrakx.crs.mod|com.rainworldgame.garrakx.crs.mod
There is nothing I can do to stop you, so here is my request:<LINE>Leave me be, or end it quickly.|我无法阻止你，所以我的请求是：<LINE>放开我，或者快点结束它。
Camo Pearl Count|迷彩珍珠计数
Clearly an artifical creation. But from where? Sent by who?|显然是人工创造的。但从哪里来呢？由谁发送的？
R-Stick|R-棒
SPECEVENT|特殊事件
Foreground|前景
Button North|巴顿北
And just who might you two be?|你们两个到底是谁？
You have a knack for finding these pearls, yes?|你有找到这些珍珠的诀窍，是吗？
PFace|人脸
AS IS|按原样
Back again? You do visit often...|再次回来？你确实经常来访...
My own time is limited, after all...|毕竟我自己的时间有限……
pup|小狗
Inventory Override?|库存覆盖？
.txt|。TXT
So curious... I wonder what it is you're searching for?|很好奇...我想知道您在寻找什么？
Which player controller trigger swapping will apply to. 0 disables trigger swapping. Hold and drag up or down to change.|哪个玩家控制器触发交换将适用。 0 禁用触发器交换。按住并向上或向下拖动进行更改。
LF|如果
Get... get away... strange... thing.|走开……走开……奇怪的……事情。
pearlcat_structure5|珍珠猫_结构5
pearlcat_bottomshutter|Pearlcat_bottomshutter
DS|DS
Number of revive pearls (green). Effective only when Inventory Override? is checked.|复活珍珠数量（绿色）。仅在库存覆盖时有效？已检查。
Max Pearl Count|最大珍珠数
I can only hope you have not come... to hurt me more.|我只能希望你没有来……进一步伤害我。
tail|尾巴
Sleeve|袖子
<oA>|<oA>
To store, hold the same keybind with a pearl in your main hand|存放时，用主手握住同一个带有珍珠的钥匙扣
When checked, disables the agility effect granted by an active pearl.|选中后，会禁用活跃珍珠所赋予的敏捷效果。
pearlcatScarfC0|珍珠猫围巾C0
\nPoleClimb |\n爬杆
NA_19 - Halcyon Memories|NA_19 - 翡翠回忆
Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|珍珠猫总体能见度的百分比乘数会影响捕食者的吸引力。默认情况下，Pearlcat 甚至比 Hunter 更显眼。
Input a shelter name to have it override where Pearlcat starts a new game.|输入庇护所名称以覆盖 Pearlcat 开始新游戏的位置。
Enables custom keybinds below, as opposed to the default (UP + PICKUP).|启用下面的自定义按键绑定，而不是默认的（UP + PICKUP）。
I suppose, seeing as you cannot read the information stored on them, I can read them for you, if you wish.|我想，鉴于您无法读取其中存储的信息，如果您愿意，我可以为您读取它们。
Keybind for Player 1.|玩家 1 的按键绑定。
T1_S01|T1_S01
OE_SEXTRA|OE_SEXTRA
You. I didn't forget...|你。我没有忘记...
pearlcat_clouds|珍珠猫云
oa_min_fric_speed|oa_min_fric_speed
HI|你好
ear_r_offset|耳朵偏移量
2: |2：
Swap Left|向左交换
BigGlyph2|大字形2
Custom Agility Keybind?|自定义敏捷键绑定？
Version |版本
Sidera - Dialogue, SFX|Sidera - 对话，SFX
Left Bumper|左保险杠
What do you want? To take away more of my life...?|你想要什么？夺走我更多的生命……？
Menu|菜单
oa_max_fric_mult|oa_max_fric_mult
Face|脸
_sprites|_精灵
To cycle between pearls, use (|要在珍珠之间循环，请使用 (
hips|臀部
The Gutter|天沟
Something new to read... it has been too long...|读了一些新内容……已经太久了……
Pebbles_AS_PearlBlue|Pebbles_AS_PearlBlue
oa_min_fric_mult|oa_min_fric_mult
When checked, disables the shield effect granted by an active pearl.|选中后，会禁用活跃珍珠所赋予的护盾效果。
oa_max_time|oa_最大时间
L-Stick|L 形棒
Shield Pearl Count|盾珍珠数
RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|红色象征着力量。当红珍珠活跃时，最近的敌对生物将成为目标
HUD|平视显示器
pearlcat_glyphcooldown|Pearlcat_glyphcooldown
I would guess they will grow up into quite the scholar themself, someday...|我猜他们有一天会成长为一名学者......
Nevermind... this anger is useless...|没关系……这种愤怒是没有用的……
 SAVE|节省
Let us see what- oh, again?|让我们看看什么——哦，又来了？
Atlas not found! ({uniqueName})|找不到图集！ ({唯一名称})
scholar|学者
Pearlcat|珍珠猫
You gave me quite the fright! I do not get visitors often these days;<LINE>much less visitors quite like you, who I can talk to...|你真是把我吓坏了！这些天我很少见到访客；<LINE>更不用说像你这样的访客了，我可以和他们交谈......
I think I may still have some use left after all!~|我想我也许还有点用处！~
Custom Keybind?|自定义按键绑定？
.NET Framework 4.8|.NET框架4.8
RW_Outro_Theme_B|RW_Outro_Theme_B
Body|身体
pearlpup_head|珍珠小狗头
Feet|脚
feet|脚
You must be very brave to have made it all the way here. Very brave indeed...|你一定很勇敢，才一路走到这里。确实非常勇敢...
Disable Cosmetics?|禁用化妆品？
BigGlyph11|大字形11
pearlcat_support|Pearlcat_支持
Given your unique abilities, if you are curious as to the contents of those pearls -|以你独特的能力，如果你对那些珍珠的内容感到好奇的话——
I have tried to reconstruct it from memory many times, fruitlessly.|我曾多次试图凭记忆重建它，但无果而终。
pearlcat_4|珍珠猫_4
But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|但是……你所拥有的印记，很不寻常。<LINE>不是本地团体中的任何人都可以授予的……
pearlcat_over9|珍珠猫_over9
pearlcat_0|珍珠猫_0
You would be a hard one to forget after all, <PlayerName>!|毕竟你会是一个很难忘记的人，<玩家名字>！
GhostDistortion|鬼影扭曲
.png|.png
Pebbles_AS_PearlYellow|Pebbles_AS_PearlYellow
You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|你从很远的地方来吗？你可以和我们交流，但你所拥有的印记对我来说是陌生的……
Visibility Multiplier|可见度乘数
inventory_ui_offset|库存_ui_偏移量
-----------------------------------------|----------------------------------------------------
Disable Agility Effect?|禁用敏捷效果？
ruffian|痞子
\nRunspeedFac |\n运行速度Fac
oa_max_speed|oa_最大速度
) or (|） 或者 （
pearlcat_structure4|珍珠猫_结构4
GATE_UW_LC|GATE_UW_LC
SI|SI
pearl|珍珠
Joystick[0-9]Button|摇杆[0-9]按钮
pearlcat_hudpearl|珍珠猫_hudpearl
Agility Pearl Count|敏捷珍珠数
oa_max_dist|oa_最大距离
pearlcat_5|珍珠猫_5
) & (|) & (
Hello again.|再一次问好。
Alternatively, hold (|或者，按住 (
Prefer to use the custom keybinds below for spear creation.|更喜欢使用下面的自定义键绑定来创建矛。
warp|经
oa_cutoff_min_speed|oa_cutoff_min_speed
_|_
puptail|幼崽
General|一般的
HologramBehindTerrain|地形背后的全息图
Midground|中景
LC|液相色谱
When checked, some abilties will show the inventory when recharged or depleted.|选中后，某些技能会在充电或耗尽时显示库存。
I see you've returned, yet again.|我看到你又回来了。
slime-cubed.slugbase|粘液立方.slugbase
When checked, disables the rage effect granted by an active pearl.|选中后，会禁用活跃珍珠所赋予的愤怒效果。
Legs|腿
Hello! I remember you! I remember...|你好！我记得你！我记得...
The choice is yours.|这是你的选择。
Disable Shield Effect?|解除护盾效果？
Songs|歌曲
