START|COMMENCER
Your HEART will let you possess others, with it active, maintain line of sight with a creature and try to retrieve the pearl to possess|Votre cœur vous permettra de posséder d'autres, avec lui, maintenir une ligne de vue avec une créature et essayer de récupérer la perle pour posséder
pearlcat_0|pearlcat_0
Pearls may also be deployed as temporary sentries. Press (|Les perles peuvent également être déployées en tant que sentinelles temporaires. Presse (
Swap Left|Permuter à gauche
I remember this one... don't you? Well...|Je me souviens de celui-ci... pas vous ? Bien...
Given you have inherited your mother's traits, if you want to make these visits worth my time, bring me something to read...|Étant donné que vous avez hérité des traits de votre mère, si vous voulez faire ces visites qui valent mon temps, apportez-moi quelque chose à lire ...
Another one? I shouldn't be surprised. Let's see...|Un autre? Je ne devrais pas être surpris. Voyons...
Look at yourself! You know how it feels, to be within an inch of death...|Regardez-vous!Vous savez ce que ça fait, d'être à moins d'un pouce de mort ...
Sentry P4|Sentry P4
Shield Pearl Count|Nombre de perles de bouclier
Keybind for Player 3.|Keybind pour le joueur 3.
Noir |Noir
OE_SEXTRA|OE_SEXTRA
Why did you come back here...? I can only imagine it brings back some painful memories.|Pourquoi êtes-vous revenu ici ...?Je peux seulement imaginer que cela ramène des souvenirs douloureux.
Keyboard|Clavier
Head|Tête
Something else new? Allow me to see...|Autre nouveauté ? Laisse-moi voir...
Background|Arrière-plan
Oh... the memories can hurt a little... but I shouldn't well on them.|Oh ... les souvenirs peuvent faire un peu de mal ... mais je ne devrais pas bien sur eux.
98ab95|98ab95
ERROR UPDATING SAVE BEFORE CYCLE START:\n|MISE À JOUR ERREUR SAVE AVANT LE CYCLE DE CYCLE: \ N
...one which still means a lot to me.|...celui qui compte encore beaucoup pour moi.
When checked, disables the rage effect granted by an active pearl.|Lorsqu'elle est cochée, désactive l'effet de rage accordé par une perle active.
Opens the inventory UI when held, allowing the active pearl to be swapped with the movement keys.|Ouvre l'interface utilisateur de l'inventaire lorsqu'il est tenu, permettant à la perle active d'être échangée avec les clés de mouvement.
LizardBubble6|LézardBulle6
Accent|Accent
Special thanks to the following people!|Remerciements particuliers aux personnes suivantes !
Ah, you didn't happen to find a way to tell me about your travels, did you?|Ah, vous n'avez pas trouvé de moyen de me parler de vos voyages, n'est-ce pas?
WorldCreature IL Error: \n|Erreur du monde de la réalisation: \ n
694646|694646
) to deploy, and again to return.|) pour se déployer, et encore pour revenir.
Keybind for Keyboard.|Keybind pour clavier.
pearlcat|chat perlé
Stores the pearl in your main hand, or retrieves the current active pearl if your main hand is empty.|Stocke la perle dans votre main principale ou récupère la perle active actuelle si votre main principale est vide.
YOU!|TOI!
When checked, disables the agility effect granted by an active pearl.|Lorsqu'elle est cochée, désactive l'effet d'agilité accordé par une perle active.
I won't lie, I'm so curious as to how you... survived, and how you ended up back here...?|Je ne mentirai pas, je suis si curieux de savoir comment vous ... survivez, et comment vous vous êtes retrouvé ici ...?
Shield Duration|Durée du bouclier
Prefer to use the custom keybinds for deploying sentry pearls, instead of the default (GRAB + JUMP + DOWN)|Préférez utiliser les raccourcis clavier personnalisés pour déployer les perles sentinelles, au lieu de la valeur par défaut (GRAB + JUMP + DOWN)
pearlcat_ragespear|perlcat_ragespear
Pebbles_AS_PearlYellow|Galets_AS_PearlYellow
GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|Le VERT symbolise la vitalité. Chaque perle verte stockée peut faire revivre une créature par cycle, y compris vous
T1_CAR0|T1_CAR0
I am... sorry.|Je suis désolé.
Cloak|Manteau
Pearl Ability|Capacité de perle
.png|.png
Throwing any weapon within a red pearl's radius will cause it to home onto the nearest hostile creature|Jeter toute arme dans le rayon d'une perle rouge le fera chez lui sur la créature hostile la plus proche
Skip to Mira Storyline|Sautez le scénario Mira
9487c9|9487C9
Hello! Strange scholar, it is good to see you!|Bonjour!Strange Scholar, c'est bon de vous voir!
It would be pointless to ask why...|Il serait inutile de demander pourquoi ...
pearlcat_spear|pearlcat_spear
Disable Spear Effect?|Désactiver l'effet lance ?
Revive Pearl Count|Raviver le nombre de perles
I noticed the augment keeping you alive as soon as you returned here - I don't say this lightly, but it is beyond me how it works.|J'ai remarqué l'augmentation qui vous gardait en vie dès que vous êtes revenu ici - je ne dis pas cela à la légère, mais c'est au-delà de moi comment cela fonctionne.
Pebbles_AS_PearlRed|Galets_AS_PearlRed
Midground|Milieu de terrain
Intended for fun, may change gameplay significantly!|Conçu pour le plaisir, peut changer le gameplay de manière significative !
WIP - no new ending yet!<LINE>If you find any bugs, please report them to forthbridge!|WIP - Aucune nouvelle fin encore! <Line> Si vous trouvez des bugs, veuillez les signaler à Forthbridge!
...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|...Tu as mangé... moi. Partez s'il vous plait. Je... ne te parlerai pas.<LINE>Je... NE PEUX PAS te parler... parce que... tu m'as mangé... ...et pourquoi ?
GAME VERSION: {RainWorld.GAME_VERSION_STRING}\n|Version du jeu: {rainworld.game_version_string} \ n
You're welcome to stay a while... your ability is fascinating.|Vous êtes les bienvenus pour rester un moment... votre capacité est fascinante.
1: |1:
\r\n|\r\n
PEARLPUP|Perlpup
{nameof(SaveMiscProgression.ActivePearlColor)}: {pearlcatMiscProg.ActivePearlColor}\n|ot
This one again? I have better things to do... but...|Encore celui-ci ? J'ai mieux à faire... mais...
feet|pieds
sleeve|manche
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle. Does not save over the current inventory - it is returned to when unchecked.|Une fois vérifié, définit l'inventaire sur les nombres spécifiés de perles colorées en dessous de chaque cycle.N'économise pas sur l'inventaire actuel - il est renvoyé lorsqu'il n'est pas contrôlé.
I'll be waiting right here - not like I can go far, anyways~|J'attendrai ici - pas comme si je pouvais aller loin, de toute façon ~
SU|SU
Pearlcat|Chat de Perlé
When checked, all tutorials will be disabled.|Lorsque cette case est cochée, tous les didacticiels seront désactivés.
Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|Leur curiosité insatiable, Pearlcat s'aventure une fois de plus dans<LINE>pour élargir sa collection
PEARLCAT STATISTICS SCREEN: |Écran de statistiques Pearlcat:
I'll always enjoy your company... it gets lonely out here.|J'apprécierai toujours votre entreprise ... il se fait seul ici.
And now here you are, with a perfect copy.|Et maintenant vous voilà, avec une copie parfaite.
