START|INIZIO
Your HEART will let you possess others, with it active, maintain line of sight with a creature and try to retrieve the pearl to possess|Il tuo cuore ti permetterà di possedere gli altri, con esso attivo, mantieni la linea di vista con una creatura e cercherà di recuperare la perla per possedere
pearlcat_0|perlacat_0
Pearls may also be deployed as temporary sentries. Press (|Le perle possono anche essere schierate come sentinelle temporanee. Premere (
Swap Left|Scambia a sinistra
I remember this one... don't you? Well...|Me lo ricordo questo... non è vero? BENE...
Given you have inherited your mother's traits, if you want to make these visits worth my time, bring me something to read...|Dato
Another one? I shouldn't be surprised. Let's see...|Un altro? Non dovrei essere sorpreso. Vediamo...
Look at yourself! You know how it feels, to be within an inch of death...|Guardati!Sai come ci si sente, essere entro un centimetro dalla morte ...
Sentry P4|Sentry P4
Shield Pearl Count|Scudo Pearl Count
Keybind for Player 3.|Combinazione di tasti per il giocatore 3.
Noir |Noir
OE_SEXTRA|OE_SEXTRA
Why did you come back here...? I can only imagine it brings back some painful memories.|Perché sei tornato qui ...?Posso solo immaginare che riporta alcuni ricordi dolorosi.
Keyboard|Tastiera
Head|Testa
Something else new? Allow me to see...|Qualcos'altro di nuovo? Fammi vedere...
Background|Sfondo
Oh... the memories can hurt a little... but I shouldn't well on them.|Oh ... i ricordi possono far male un po '... ma non dovrei bene su di loro.
98ab95|98ab95
ERROR UPDATING SAVE BEFORE CYCLE START:\n|Errore aggiornamento di salvataggio prima del ciclo Avvia: \ n
...one which still means a lot to me.|...uno che significa ancora molto per me.
When checked, disables the rage effect granted by an active pearl.|Quando selezionato, disabilita l'effetto di rabbia concesso da una perla attiva.
Opens the inventory UI when held, allowing the active pearl to be swapped with the movement keys.|Apre l'interfaccia utente di inventario quando tenuta, permettendo alla perla attiva di essere scambiato con le chiavi di movimento.
LizardBubble6|LizardBubble6
Accent|Accento
Special thanks to the following people!|Un ringraziamento speciale alle seguenti persone!
Ah, you didn't happen to find a way to tell me about your travels, did you?|Ah, non ti è capitato di trovare un modo per parlarmi dei tuoi viaggi, vero?
WorldCreature IL Error: \n|WorldCreature Ir Errore: \ n
694646|694646
) to deploy, and again to return.|) per distribuire e di nuovo per tornare.
Keybind for Keyboard.|Keybind per tastiera.
pearlcat|perlacat
Stores the pearl in your main hand, or retrieves the current active pearl if your main hand is empty.|Memorizza la perla nella mano principale o recupera l'attuale perla attiva se la mano principale è vuota.
YOU!|VOI!
When checked, disables the agility effect granted by an active pearl.|Quando selezionato, disabilita l'effetto di agilità concesso da una perla attiva.
I won't lie, I'm so curious as to how you... survived, and how you ended up back here...?|Non mentirò, sono così curioso di sapere come sei sopravvissuto e come sei finito qui ...?
Shield Duration|Durata dello scudo
Prefer to use the custom keybinds for deploying sentry pearls, instead of the default (GRAB + JUMP + DOWN)|Preferisci utilizzare le combinazioni di tasti personalizzate per schierare le perle sentinella, invece di quelle predefinite (PRENDI + SALTA + GIÙ)
pearlcat_ragespear|Pearlcat_ragespear
Pebbles_AS_PearlYellow|Pebbles_AS_PearlYellow
GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|Il VERDE simboleggia la vitalità. Ogni perla verde immagazzinata può resuscitare una creatura per ciclo, incluso te
T1_CAR0|T1_CAR0
I am... sorry.|Mi dispiace.
Cloak|Mantello
Pearl Ability|Abilità perla
.png|.png
Throwing any weapon within a red pearl's radius will cause it to home onto the nearest hostile creature|Lanciare qualsiasi arma nel raggio di una perla rossa lo farà casa sulla creatura ostile più vicina
Skip to Mira Storyline|Salta la trama di Mira
9487c9|9487C9
Hello! Strange scholar, it is good to see you!|Ciao!Strano studioso, è bello vederti!
It would be pointless to ask why...|Sarebbe inutile chiedere perché ...
pearlcat_spear|pearlcat_spear
Disable Spear Effect?|Disabilitare l'effetto lancia?
Revive Pearl Count|Rianima Pearl Count
I noticed the augment keeping you alive as soon as you returned here - I don't say this lightly, but it is beyond me how it works.|Ho notato che l'aumento ti ha mantenuto in vita non appena sei tornato qui - non lo dico leggermente, ma è al di là di me come funziona.
Pebbles_AS_PearlRed|Pebbles_AS_PearlRed
Midground|Mezzopiano
Intended for fun, may change gameplay significantly!|Destinato al divertimento, può cambiare in modo significativo il gameplay!
WIP - no new ending yet!<LINE>If you find any bugs, please report them to forthbridge!|WIP - Nessun nuovo finale!
...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|...Hai mangiato... me. Per favore vai via. Non parlerò... con te.<LINE>IO... NON POSSO parlarti... perché... mi hai mangiato... ...e perché?
GAME VERSION: {RainWorld.GAME_VERSION_STRING}\n|Versione del gioco: {Rainworld.game_version_string} \ n
You're welcome to stay a while... your ability is fascinating.|Puoi restare un po'... la tua abilità è affascinante.
1: |1:
\r\n|\r\n
PEARLPUP|Pearlpup
{nameof(SaveMiscProgression.ActivePearlColor)}: {pearlcatMiscProg.ActivePearlColor}\n|{nameof (saveMiscprogression.activePearlColor)}: {PearlcatMiscprog.ActivePearlColor} \ n
This one again? I have better things to do... but...|Di nuovo questo? Ho di meglio da fare... ma...
feet|piedi
sleeve|manica
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle. Does not save over the current inventory - it is returned to when unchecked.|Se controllato, imposta l'inventario sul numero specificato di perle colorate al di sotto di ogni ciclo.Non salva sull'inventario attuale: viene restituito quando non controllato.
I'll be waiting right here - not like I can go far, anyways~|Aspetterò proprio qui - non come se potessi andare lontano, comunque ~
SU|SU
Pearlcat|Gatto Perle
When checked, all tutorials will be disabled.|Se selezionato, tutti i tutorial saranno disabilitati.
Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|La loro curiosità insaziabile, Pearlcat si avventura ancora una volta <LINE>nel tentativo di espandere la loro collezione
PEARLCAT STATISTICS SCREEN: |Schermata delle statistiche di Pearlcat:
I'll always enjoy your company... it gets lonely out here.|Mi piacerà sempre la tua compagnia ... è solo qui.
And now here you are, with a perfect copy.|E ora eccoti qui, con una copia perfetta.
