When checked, disables the spear creation effect granted by an active pearl.|チェックすると、アクティブパールによって付与された槍の作成効果を無効にします。

Ah, you have returned? You look about as sickly as I remember.|ああ、あなたは戻ってきましたか？あなたは私が覚えているように病気に見えます。

... |...

Sorry, I shouldn't be so intrusive, I am in quite the state myself after all.|申し訳ありませんが、私はそんなに邪魔をするべきではありません。結局のところ、私はかなりの状態にいます。

Ah... you seem, familiar...? ...but in such a strange way...|ああ...おなじみのようです...？...しかし、そのような奇妙な方法で...

Sentry P4|セントリーP4

- Spanish Translation|- スペイン語の翻訳

Shield Pearl Count|シールドパールカウント

I... I have nothing more to say...|私は...私はこれ以上言うことはありません...

...we were built to solve problems. It is a shame not every problem has a solution.|...私たちは問題を解決するために建てられました。すべての問題に解決策があるわけではないのは残念です。

For now, my only lens into the outside is those pearls you carry.|今のところ、外側に私の唯一のレンズはあなたが運ぶ真珠です。

Ability P1|能力P1

Laser Recharge Time (OLD)|レーザー充電時間（古い）

L-Stick|Lスティック

Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|フレーム内の時間は、アクティブになった後、黄色の真珠のシールドが充電するのにかかります。デフォルト40秒。

And who is your little friend? They are...|そして、あなたの小さな友達は誰ですか？彼らです...

When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|チェックすると、Pearlcatの化粧品は無効になり、DMを介してカスタムスプライトを許可することを目的としています。これには真珠自体は含まれていません。

Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|シールドパールの数（黄色）。在庫がオーバーライドする場合にのみ効果的ですか？チェックされています。

Store Input|入力を保存します

Disable Minor Effects?|マイナーな効果を無効にしますか？

Prefer to use the custom keybinds for deploying sentry pearls, instead of the default (GRAB + JUMP + DOWN)|デフォルトではなく、セントリーパールを展開するためにカスタムキービンドを使用することを好む（グラブ +ジャンプ +ダウン）

When checked, disables the agility effect granted by an active pearl.|チェックすると、アクティブパールによって付与された敏ility効果を無効にします。

When checked, Pearlpup will respawn in the next shelter on the following cycle whenever they are lost.|チェックされると、パールプラップは次のサイクルで次のシェルターで失われるたびにリスポーンします。

Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|彼らの好奇心が飽くことのない、パールキャットは彼らのコレクションを拡大することを追求する<LINE>を再び冒険します

Starting Inventory Override?|在庫オーバーライドを開始しますか？

Hide Pearls?|真珠を隠しますか？

VERSION WARNING|バージョン警告

I won't lie, I'm so curious as to how you... survived, and how you ended up back here...?|私は嘘をつかない、私はあなたがどのように生き残ったか、そしてあなたがどうやってここに戻ったのかについてとても興味があります...？

So please, bring me more, as long as it isn't too dangerous for you... these visits really are the highlight of my days here...|だから、それがあなたにとってそれほど危険ではない限り、私をもっと持ってきてください...これらの訪問は本当にここでの私の日々のハイライトです...

OE_SEXTRA|OE_SEXTRA

Ability P2|能力P2

Surely it must be another little beast with a pearl for a heart?|確かにそれは心の真珠を持つ別の小さな獣でなければなりませんか？

Swap Pearl|真珠を交換します

WARNING|警告

You and your family are always welcome here - please visit often!|あなたとあなたの家族はいつでもここで大歓迎です - 頻繁に訪問してください！

When checked, sets the inventory to the specified numbers of coloured pearls below every cycle. Does not save over the current inventory - it is returned to when unchecked.|チェックしたら、すべてのサイクルの下に指定された数の色の真珠にインベントリを設定します。現在の在庫を節約しません - チェックされていないときに返されます。

I see you've returned, yet again.|私はあなたが戻ってきたのを見ます、もう一度。

Compact Inventory HUD?|コンパクトインベントリHUD？

The choice is yours.|選択はあなたのものです。

Player 3|プレーヤー3

You. Again. I still remember what you did...|あなた。また。私はまだあなたがしたことを覚えています...

trueend|TrueEnd

Otherwise, I must resume my work, it seems the path to my own cure is unfortunately much longer...|そうでなければ、私は自分の仕事を再開しなければなりません、それは私自身の治療への道がはるかに長いようです...

Oh, hello <PlayerName>!|ああ、こんにちは<PlayName>！

I may not have the facilities to aid you, however...|私はあなたを助けるための施設を持っていないかもしれませんが...

CREDITS|クレジット

This one again? I have better things to do... but...|これも？やるべきことがもっとあります...しかし...

...you can manipulate our storage medium in unforseen ways...|...予期せぬ方法でストレージ媒体を操作できます...

Custom Spear Keybind?|カスタムスピアキービンド？

Oh, hello there!|ああ、こんにちは！

Player 2|プレーヤー2

If only I had my memories, I might have a clue...|思い出があれば、手がかりがあるかもしれません...

Brought me something to read? Or just wasting my time, as per usual?|私に何かを読んでもらいましたか？それとも、いつものように、私の時間を無駄にしますか？

I know that quite well.|私はそれをよく知っています。

To release possession, try to deploy the pearl as a sentry, or try to retrieve the pearl|所有権を解放するには、セントリーとして真珠を展開するか、真珠を取り戻そうとします

If you were able to reach me via the transit system, I can only assume that you may be able to reach others far beyond.|あなたがトランジットシステムを介して私に到達できたなら、私はあなたがはるかにそれ以上に他の人に到達できるかもしれないと仮定することができます。

Please, stay as long as you'd like, I can't begin to imagine what you've been through.|あなたが望む限り、私はあなたが何を経験してきたか想像することはできません。

pearl|パール

You. I didn't forget...|あなた。私は忘れませんでした...

...hello?|...こんにちは？

All times here are in frames.<LINE>40 frames = 1 second.|ここはすべてフレームにあります。<LINE> 40フレーム= 1秒。

MSC|MSC

Your little friend is still quite sick, unfortunately.|残念ながら、あなたの小さな友達はまだかなり病気です。

Please try not to push me too hard; with the number of neurons I have... let's just say my mind gets a little foggy.|私を強く押しすぎないようにしてください。私が持っているニューロンの数で...私の心が少し霧がかかると言ってみましょう。

Hello again, strange scholar!|こんにちは、奇妙な学者！

Custom Agility Keybind?|カスタムアジリティキービンド？

.  .  .|。。。

I do enjoy the company of you and your friend though, strange scholar.|私はあなたとあなたの友人、奇妙な学者の会社を楽しんでいます。

Agility Pearl Count|敏ilityパールカウント

The surviving scholar returns once more... how poetic.|生き残った学者はもう一度戻ってきます...なんて詩的です。

) to deploy, and again to return.|）展開し、もう一度返す。

...ah... are those still a fascination to you? You really are no different from your mother...|...ああ...それらはまだあなたにとって魅力的ですか？あなたは本当にあなたの母親と違いはありません...

Hello again, <PlayerName>!|こんにちは、<PlayName>！

Mira Installation requires a more recent version of Pearlcat! Please update...|MIRAインストールには、Pearlcatのより最近のバージョンが必要です！更新してください...

Laser Windup TIme (OLD)|レーザーウィンドアップ時間（古い）

Press (|プレス （

