CANNOT PLAY\n|재생할 수 없습니다.\n
PLAYTESTERS|플레이테스터
pearlcat_spire1|pearlcat_spire1
Ah. So you've returned.|아. 그래서 당신은 돌아왔습니다.
SI|시
US_Undertower|US_언더타워
Button East|버튼 이스트
pearlcat_bottomshutter|pearlcat_bottomshutter
The Gutter|거터
...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...당신은 의사소통의 재능을 가지고 있습니다!<LINE>아마도 당신은 내 이웃 Five Pebbles를 방문했을 것입니다...?
To store, hold the same keybind with a pearl in your main hand|보관하려면 주 손에 진주가 있는 동일한 키바인드를 잡으십시오.
pearlpup_face|pearlpup_face
AS IS|있는 그대로
Software|소프트웨어
My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|내 감독자들은 당신의 도착에 대해 평화를 이루지 못했습니다. 대중 교통 시스템이 거의 작동하지 않는다는 인상을 받았습니다.
Ability Input|어빌리티 입력
Inventory Override?|재고 무시?
Keybind to swap to the stored pearl to the right. Limited to Player 1.|오른쪽에 저장된 진주로 교체하려면 키바인드하십시오. 플레이어 1로 제한됩니다.
min_tail_offset|min_tail_offset
pearlcat_clouds|pearlcat_clouds
Swap Left|왼쪽 바꾸기
pup|새끼
Affirmer|확언자
<oA>|<아>
pearlpup_head|pearlpup_head
T1_START|T1_START
Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|각각의 붉은 진주는 추가 레이저를 제공합니다. 그렇습니다. 이 배트플라이는 매우 적대적입니다!
It appears to contain a hymn that once meant a lot to the inhabitants of my city...|한때 우리 도시의 주민들에게 큰 의미가 있었던 찬송가가 포함되어 있는 것 같습니다...
pearlcat_light0|pearlcat_light0
MS|석사
Laser Recharge Time|레이저 재충전 시간
Another one? I shouldn't be surprised. Let's see...|다른 것? 나는 놀라지 말아야 한다. 보자...
): swap out a pearl, or change the limit in the Remix options|): 진주를 교체하거나 리믹스 옵션에서 제한을 변경합니다.
_AboveCloudsAtmosphereColor|_AboveCloudsAtmosphereColor
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|활성 진주를 포함하여 한 번에 저장할 수 있는 최대 진주 수입니다. 기본값은 9입니다. 변경하려면 누른 상태에서 위 또는 아래로 끕니다.
You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|꽤 먼 곳에서 오셨습니까? 당신은 우리와 소통할 수 있지만, 당신이 가진 마크는 나에게 낯설어요...
pearlpup_scarf|pearlpup_스카프
Pebbles_AS_PearlBlue|Pebbles_AS_PearlBlue
Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|Pearlcat의 일반적인 가시성에 대한 백분율 승수는 포식자 유인에 영향을 미칩니다. 기본적으로 Pearlcat은 Hunter보다 훨씬 더 잘 보입니다.
OE|OE
pearlcat_support|pearlcat_support
pearlcat_dusksky|pearlcat_dusksky
Sound Hooks Error:\n|사운드 후크 오류:\n
pearlcatSleeve0|pearlcatSleeve0
Hold (GRAB) with an active common pearl to convert it into a pearl spear|활성 일반 진주로 (GRAB)를 눌러 진주 창으로 변환하십시오.
Scarf|스카프
Agility Pearl Count|민첩성 진주 수
Intended for fun,\nmay change gameplay significantly!|재미를 위한 것이므로\n게임 플레이가 크게 바뀔 수 있습니다!
Debug|디버그
DM|DM
PFace|피페이스
scholar|학자
haloGlyph5|할로글리프5
owner|소유자
My own time is limited, after all...|내 시간은 한정되어 있기 때문에...
) with an active common pearl to convert it into a pearl spear|) 활성 일반 진주로 진주 창으로 변환
To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|진주를 회수하려면 빈 손을 잡고 (잡아 + 위로)
