START|COMEÇAR
Your HEART will let you possess others, with it active, maintain line of sight with a creature and try to retrieve the pearl to possess|Seu coração permitirá que você possua outros, com ele ativo, mantenha a linha de visão com uma criatura e tente recuperar a pérola para possuir
pearlcat_0|pearlcat_0
Pearls may also be deployed as temporary sentries. Press (|Pérolas também podem ser implantadas como sentinelas temporárias. Imprensa (
Swap Left|Trocar Esquerda
I remember this one... don't you? Well...|Eu me lembro deste ... não é? Bem...
Given you have inherited your mother's traits, if you want to make these visits worth my time, bring me something to read...|Dado que você herdou os traços de sua mãe, se você quiser fazer essas visitas valem a pena, traga -me algo para ler ...
Another one? I shouldn't be surprised. Let's see...|Outro? Eu não deveria estar surpreso. Vamos ver...
Look at yourself! You know how it feels, to be within an inch of death...|Olhe para você!Você sabe como é, estar dentro de uma polegada de morte ...
Sentry P4|Sentry P4
Shield Pearl Count|Contagem de pérolas de escudo
Keybind for Player 3.|Tecla de atalho para o jogador 3.
Noir |noir
OE_SEXTRA|OE_SEXTRA
Why did you come back here...? I can only imagine it brings back some painful memories.|Por que você voltou aqui ...?Só posso imaginar isso traz de volta algumas lembranças dolorosas.
Keyboard|Teclado
Head|Cabeça
Something else new? Allow me to see...|Algo mais novo? Permita-me ver...
Background|Fundo
Oh... the memories can hurt a little... but I shouldn't well on them.|Oh ... as memórias podem doer um pouco ... mas eu não deveria bem nelas.
98ab95|98ab95
ERROR UPDATING SAVE BEFORE CYCLE START:\n|Erro Atualização Salvar antes do ciclo Iniciar: \ n
...one which still means a lot to me.|...um que ainda significa muito para mim.
When checked, disables the rage effect granted by an active pearl.|Quando marcado, desativa o efeito de raiva concedido por uma pérola ativa.
Opens the inventory UI when held, allowing the active pearl to be swapped with the movement keys.|Abre a interface do usuário do inventário quando mantida, permitindo que a pérola ativa seja trocada com as teclas de movimento.
LizardBubble6|LizardBubble6
Accent|Sotaque
Special thanks to the following people!|Agradecimentos especiais às seguintes pessoas!
Ah, you didn't happen to find a way to tell me about your travels, did you?|Ah, você não encontrou uma maneira de me contar sobre suas viagens, não é?
WorldCreature IL Error: \n|Worldcreature IL ERRO: \ n
694646|694646
) to deploy, and again to return.|) para implantar e novamente para retornar.
Keybind for Keyboard.|Teclado para teclado.
pearlcat|pérola
Stores the pearl in your main hand, or retrieves the current active pearl if your main hand is empty.|Armazena a pérola na sua mão principal ou recupera a pérola ativa atual se sua mão principal estiver vazia.
YOU!|VOCÊ!
When checked, disables the agility effect granted by an active pearl.|Quando marcado, desativa o efeito de agilidade concedido por uma pérola ativa.
I won't lie, I'm so curious as to how you... survived, and how you ended up back here...?|Não vou mentir, estou tão curioso sobre como você ... sobreviveu e como você acabou aqui ...?
Shield Duration|Duração do escudo
Prefer to use the custom keybinds for deploying sentry pearls, instead of the default (GRAB + JUMP + DOWN)|Prefira usar os atalhos de teclado personalizados para implantar pérolas de sentinela, em vez do padrão (GRAB + JUMP + DOWN)
pearlcat_ragespear|Pearlcat_Ragespear
Pebbles_AS_PearlYellow|Pebbles_AS_PearlYellow
GREEN symbolizes vitality. Each green pearl stored may revive one creature per cycle, including you|VERDE simboliza vitalidade. Cada pérola verde armazenada pode reviver uma criatura por ciclo, incluindo você
T1_CAR0|T1_CAR0
I am... sorry.|Sinto muito.
Cloak|Capa
Pearl Ability|Habilidade de pérolas
.png|.png
Throwing any weapon within a red pearl's radius will cause it to home onto the nearest hostile creature|Jogar qualquer arma dentro do raio de uma pérola vermelha fará com que ela volte a casa na criatura hostil mais próxima
Skip to Mira Storyline|Pule a história de Mira para Mira
9487c9|9487C9
Hello! Strange scholar, it is good to see you!|Olá!Estranho estranho, é bom ver você!
It would be pointless to ask why...|Seria inútil perguntar por que ...
pearlcat_spear|pearlcat_spear
Disable Spear Effect?|Desativar o efeito de lança?
Revive Pearl Count|Revive a Contagem de Pérolas
I noticed the augment keeping you alive as soon as you returned here - I don't say this lightly, but it is beyond me how it works.|Percebi o aumento de mantê -lo vivo assim que você voltou aqui - não digo isso de ânimo leve, mas está além de mim como funciona.
Pebbles_AS_PearlRed|Pebbles_AS_PearlRed
Midground|Midground
Intended for fun, may change gameplay significantly!|Destinado à diversão, pode mudar significativamente a jogabilidade!
WIP - no new ending yet!<LINE>If you find any bugs, please report them to forthbridge!|WIP - Nenhum novo final ainda! <Line> Se você encontrar bugs, denuncie -os a Fastbridge!
...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|...Você comeu... eu. Por favor vá embora. Eu não vou falar... com você.<LINE>EU... NÃO POSSO falar com você... porque... você me comeu... ...e por quê?
