You... I didn't forget...|Ты... я не забыл...

- Additional Artwork|- Дополнительные произведения искусства

Back again? I hope you have brought me something this time.|Вернуться снова? Надеюсь, на этот раз вы принесли мне что-нибудь.

But... the mark you possess, it is very unusual.<LINE>Not something anyone in the local group could bestow...|Но... метка, которой ты обладаешь, очень необычна.<LINE>Никто из местной группы не может ее наделить...

...help... please...|...Помоги пожалуйста...

Hello again, strange scholar...|Еще раз привет, странный ученый ...

RED symbolizes power. With a red pearl active, the nearest hostile creature will be targeted|КРАСНЫЙ символизирует силу. При активной красной жемчужине будет выбрано ближайшее враждебное существо.

Keyboard|Клавиатура

Ability Input|Ввод способностей

Hello! I remember you! I remember...|Привет! Я тебя помню! Я помню...

I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|Я все еще более чем счастлив читать любые жемчужины, которые вы мне приносите,<LINE>особенно учитывая ваши уникальные способности.

Trigger Player|Триггерный игрок

Welcome back, I suppose.|С возвращением, я полагаю.

I won't lie, I'm so curious as to how you... survived, and how you ended up back here...?|Я не буду лгать, мне так любопытно, как ты ... выжил, и как ты оказался сюда ...?

Hello again, strange scholar!|Еще раз привет, странный ученый!

To retrieve pearls, have an empty main hand, and hold (|Чтобы достать жемчуг, возьмите пустую основную руку и удерживайте (

) or (|) или (

...hello?|...привет?

Alternatively, hold (|Как вариант, держите (

Throwing any weapon within a red pearl's radius will cause it to home onto the nearest hostile creature|Бросание любого оружия в радиусе красной жемчужины приведет к тому, что оно будет домой на ближайшее враждебное существо

Please, stay as long as you'd like, I can't begin to imagine what you've been through.|Пожалуйста, оставайтесь так долго, как хотите, я не могу начать представлять, через что вы прошли.

I hope the cycles have been treating you well... it must be hard to take care of eachother out there.|Я надеюсь, что циклы хорошо к вам относились... должно быть трудно заботиться друг о друге там.

pearlcat|жемчужная кошка

Deploys the active pearl as a sentry, or returns it if it is already deployed.|Развертывает активную жемчужину в качестве часового или возвращает его, если она уже развернута.

JoystickButton|Joystickbutton

General|Общий

Sentry P2|Часовой P2

Shield Pearl Count|Количество жемчужин щита

When checked, disables the shield effect granted by an active pearl.|Если флажок установлен, отключает эффект щита, предоставляемый активной жемчужиной.

strange|странный

When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|Если флажок установлен, косметика Pearlcat будет отключена, что позволит использовать пользовательские спрайты через DMS. Это не считая самих жемчужин.

...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...у вас есть дар общения!<LINE>Возможно, вы нанесли визит моему соседу Пяти Камушкам...?

Keybind for Keyboard.|Связка клавиш для клавиатуры.

Hide Pearls?|Скрыть жемчуг?

Menu|Меню

My neighbour, Five Pebbles, is a little temperamental, but means well.|Мой сосед, Пять Камешек, немного вспыльчив, но имеет хорошие намерения.

I assure you it will be a more than suitable replacement for your primitive needs.|Уверяю вас, это будет более чем подходящая замена для ваших примитивных нужд.

I've accepted my fate - and one day, you will meet an end too...|Я принял свою судьбу - и однажды вы тоже встретите конец ...

Storage limit reached (|Достигнут предел хранения (

Time in frames for a red pearl's laser to recharge after firing. Default 1.5 seconds.|Время перезарядки лазера красной жемчужины после выстрела в кадрах. По умолчанию 1,5 секунды.

Grab a creature and hold (GRAB) with an active green pearl to revive them|Возьмите существо и удерживайте (GRAB) с активной зеленой жемчужиной, чтобы оживить его.

Prefer to use the custom keybinds for deploying sentry pearls, instead of the default (GRAB + JUMP + DOWN)|Предпочитаю использовать пользовательские сочетания клавиш для развертывания сторожевых жемчужин вместо стандартных (GRAB + JUMP + DOWN).

Otherwise, I must resume my work, it seems the path to my own cure is unfortunately much longer...|В противном случае я должен возобновить свою работу, кажется, что путь к моему излечению, к сожалению, гораздо дольше ...

scholar|ученый

I am... sorry.|Мне жаль.

Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|Количество жемчужин создания копья (белых). Действует только при переопределении инвентаря? проверено.

Max Pearl Count|Максимальное количество жемчуга

Player 1|Игрок 1

) & use the (LEFT) & (RIGHT) directional inputs|) и используйте направляющие входы (ВЛЕВО) и (ВПРАВО).

Sentry Pearl|Sentry Pearl
