Menu|Menú

I would love to study it, to help treat my own affliction, however it would require... removal of the augment.|Me encantaría estudiarla para así ayudar a tratar mi propia aflicción, pero eso requeriría... la extracción del suplemento.

For now, my only lens into the outside is those pearls you carry.|Por ahora, mi única lente hacia el exterior son esas perlas que llevas.

JoystickButton|Joystickbutton

Some time ago now, I encountered a scholar and their dying pup...|Hace tiempo atrás, me encontré con una erudita y su cría agonizante...

thing|criatura

Disable Tutorials?|Desactivar tutoriales

So... anything for me to read?|Entonces... ¿algo que pueda leer?

Begin at the start of the Mira storyline...<LINE>The world will be preserved, and pearls will carry over!|Empezar al inicio de la trama de Mira...<LINE>¡El mundo será preservado y las perlas se trasladarán!

I am so sorry.|Lo siento mucho.

Opens the inventory UI when held, allowing the active pearl to be swapped with the movement keys.|Abre la interfaz del inventario al mantenerlo pulsado, permitiendo cambiar la perla activa con los botones de movimiento.

And a nasty scar, poor thing... I can't imagine where you got that, or even where you came from...?|Y una cicatriz fea, pobrecito... No puedo imaginar de dónde la recibiste o siquiera dónde viniste...

Prefer to use the custom keybinds below for spear creation, instead of the default (GRAB)|Preferir utilizar los botones personalizados de abajo para la creación de lanzas, en lugar de los predeterminados (AGARRAR).

Pearlpup|Perlpa

Inventory Override?|Anulación del inventario

You would be a hard one to forget after all, strange scholar!|¡que serías difícil de olvidar, después de todo, extraño erudito!

I'm sorry... it's wrong to be so invasive, it's none of my business really.|Lo siento... está mal que sea tan invasiva, no es de mi incumbencia realmente.

Oh... oh no...|Oh... Oh, no...

And just who might you two be?|¿Y quiénes podrían ser ustedes dos?

Enables custom keybinds below, as opposed to the default (UP + PICKUP).|Activa los botones personalizados de abajo, en lugar de los predeterminados (ARRIBA + RECOGER).

Swaps the active pearl to the left.|Cambia la perla activa hacia la izquierda.

Oh, and for direction - there is a gate to the far west of here, where the ground fissures...|Oh, y para encaminarte hay una puerta al extremo oeste de aquí, donde el suelo se agrieta...

Back again? I hope you have brought me something this time.|¿Volviste de nuevo? Espero que me hayas traído algo esta vez.

...ah... are those still a fascination to you? You really are no different from your mother...|... Ah... ¿siguen siendo una fascinación para ti? Eres muy idéntico a tu madre...

Starting Inventory Override?|Anulación del inventario inicial

Shield Pearl Count|Total de perlas de escudo

Button West|Botón oeste

NON-MSC|ARCHIVO~DE GUARDADO SIN~MSC

Old Red Pearl Ability?|Habil. antigua de perlas rojas

When checked, disables the camoflague effect granted by an active pearl.|Si se encuentra marcada, desactiva el efecto de camuflaje otorgada por una perla activa.

Your attachment to that thing is unavoidable, I suppose.|Tu cariño por esa criatura es inevitable, supongo.

Oh, hello! Hello!|Oh, ¡hola! ¡Hola!

- Additional Artwork|- Trabajo<LINE>artístico adicional

Disable Shield Effect?|Desactivar efecto de escudo

Custom Keybind?|Botón personalizado

To cycle between pearls, use (|Para cambiar de perla, utiliza (

Read this one too? Yes, yes, here it is...|¿Leo esta también? De acuerdo, hela aquí...

Left Bumper|Bumper izquierdo

Stores the pearl in your main hand, or retrieves the current active pearl if your main hand is empty.|Almacena la perla que tienes en la mano principal, y saca la perla activa si tu mano principal está vacía.

