CANNOT PLAY\n|无法播放\n
PLAYTESTERS|游戏测试员
pearlcat_spire1|Pearlcat_spire1
Ah. So you've returned.|啊。所以你回来了。
SI|SI
US_Undertower|US_Undertower
Button East|巴顿东
pearlcat_bottomshutter|Pearlcat_bottomshutter
The Gutter|天沟
...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...你有沟通的天赋！<LINE>也许你拜访了我的邻居，五颗卵石...？
To store, hold the same keybind with a pearl in your main hand|存放时，用主手握住同一个带有珍珠的钥匙扣
pearlpup_face|珍珠小狗脸
AS IS|按原样
My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|我的监督者对你的到来并不满意——我的印象是交通系统几乎无法运行。
Ability Input|能力输入
Inventory Override?|库存覆盖？
Keybind to swap to the stored pearl to the right. Limited to Player 1.|按键绑定以交换到右侧存储的珍珠。仅限玩家 1。
min_tail_offset|最小尾部偏移量
pearlcat_clouds|珍珠猫云
Swap Left|向左交换
pup|小狗
Affirmer|肯定者
<oA>|<oA>
pearlpup_head|珍珠小狗头
T1_START|T1_START
Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|每颗红色珍珠都会提供额外的激光 - 是的，这些蝙蝠蝇非常敌对！
It appears to contain a hymn that once meant a lot to the inhabitants of my city...|它似乎包含一首曾经对我的城市居民意义重大的赞美诗......
pearlcat_light0|珍珠猫_light0
MS|多发性硬化症
Laser Recharge Time|激光充电时间
Another one? I shouldn't be surprised. Let's see...|另一个？我不应该感到惊讶。让我们来看看...
): swap out a pearl, or change the limit in the Remix options|)：更换珍珠，或更改混音选项中的限制
_AboveCloudsAtmosphereColor|_AboveCloudsA​​tmosphereColor
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|一次可以存储的最大珍珠数量，包括活跃珍珠。默认值为 9。按住并向上或向下拖动进行更改。
You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|你从很远的地方来吗？你可以和我们交流，但你所拥有的印记对我来说是陌生的……
pearlpup_scarf|珍珠小狗围巾
Pebbles_AS_PearlBlue|Pebbles_AS_PearlBlue
Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|珍珠猫总体能见度的百分比乘数会影响捕食者的吸引力。默认情况下，Pearlcat 甚至比 Hunter 更显眼。
OE|OE
pearlcat_support|Pearlcat_支持
pearlcat_dusksky|珍珠猫_黄昏
Sound Hooks Error:\n|声音挂钩错误:\n
pearlcatSleeve0|珍珠猫袖0
Hold (GRAB) with an active common pearl to convert it into a pearl spear|按住（抓取）一颗活跃的普通珍珠，将其转变为珍珠矛
Scarf|围巾
Agility Pearl Count|敏捷珍珠数
Intended for fun,\nmay change gameplay significantly!|旨在娱乐，\n可能会显着改变游戏玩法！
Debug|调试
DM|DM
PFace|人脸
scholar|学者
haloGlyph5|晕字形5
owner|所有者
My own time is limited, after all...|毕竟我自己的时间有限……
) with an active common pearl to convert it into a pearl spear|）用一颗活跃的普通珍珠将其转化为珍珠矛
To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|要取回珍珠，请空着主手，然后按住 (GRAB + UP)
...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|……你吃了……我。请走开。我不会……跟你说话。<LINE>我……不能和你说话……因为……你吃了……我……为什么？
I very much enjoy the company though... you and your little friend are always welcome here.|不过，我非常喜欢这个公司……这里随时欢迎您和您的小朋友。
When checked, disables the agility effect granted by an active pearl.|选中后，会禁用活跃珍珠所赋予的敏捷效果。
When checked, disables the rage effect granted by an active pearl.|选中后，会禁用活跃珍珠所赋予的愤怒效果。
pearlcat_light1|珍珠猫_light1
LC|液相色谱
OE_|OE_
oa_max_dist|oa_最大距离
pearlcat_over9|珍珠猫_over9
max_tail_offset|最大尾部偏移量
Press (|按 （
Elliot|艾略特
LW_Tower|LW_塔
T1_CAREND|T1_CAREND
Clearly an artifical creation. But from where? Sent by who?|显然是人工创造的。但从哪里来呢？由谁发送的？
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle.|选中后，将库存设置为每个周期下方指定的彩色珍珠数量。
Player 1|玩家1
DistantBkgObjectAlpha|远程BkgObjectAlpha
AS-IS|原样
) while in the air to perform a double jump|) 在空中进行二段跳
oa_min_time|oa_min_time
puptail|幼崽
Ah, I hope you both stay safe out there...|啊，希望你们俩在外面注意安全……
Intended to make gameplay more challenging, may change gameplay significantly!|旨在使游戏玩法更具挑战性，可能会显着改变游戏玩法！
.  .  .|。 。 。
face|脸
Camo Pearl Count|迷彩珍珠计数
VS|VS
US_Tower|美国塔
I will tolerate your pressence, so long as you bring me something meaningful.|我会容忍你的存在，只要你能给我带来一些有意义的东西。
pearlcat_hudpearl|珍珠猫_hudpearl
Menu|菜单
Slugcat_Pearlcat_Sleep|Slugcat_Pearlcat_Sleep
_MultiplyColor|_多重颜色
0.0|0.0
When checked, disables the revive effect granted by an active pearl.|选中后，会禁用活跃珍珠所赋予的复活效果。
pearlcat_spire8|Pearlcat_spire8
Disable Camoflague Effect?|禁用迷彩效果？
So curious...|太好奇了...
_atlases|_地图集
Hello! I remember you! I remember...|你好！我记得你！我记得...
ruffian|痞子
Four! Well, if you insist...|四！好吧，如果你坚持的话...
1.0.0|1.0.0
LOAD SAVE DATA IN PLAYER MODULE|在播放器模块中加载保存数据
PEARLCAT PEBBLES MEETING: |珍珠猫卵石会议​​：
When checked, the inventory HUD will be replaced with a more compact version.|选中后，库存 HUD 将替换为更紧凑的版本。
3: |3：
Pebbles_AS_PearlRed|Pebbles_AS_PearlRed
Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|黄色珍珠护盾激活后重新充电所需的时间（以帧为单位）。默认 40 秒。
pearlactivehalo|珍珠活性光环
Yes, help yourself. They are not edible.|是的，帮助自己。它们不可食用。
CC|抄送
tail|尾巴
Lolight2|洛莱特2
I remember this one... don't you? Well...|我记得这个……你不记得吗？出色地...
5|5
122626|122626
)|）
Disable Agility Effect?|禁用敏捷效果？
ear_r_offset|耳朵偏移量
When checked, enables Pearlcat to carry a backspear.|选中后，珍珠猫可以携带后矛。
Trigger Player|触发播放器
YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|黄色象征保护。每储存一颗黄色珍珠都会提供护盾费用
strings.txt|字符串.txt
pearlcat_spire9|Pearlcat_spire9
inventory_ui_offset|库存_ui_偏移量
oa_max_time|oa_最大时间
by|经过
