CANNOT PLAY\n|IMPOSSIBLE DE JOUER\n
PLAYTESTERS|TESTEURS DE JEU
pearlcat_spire1|pearlcat_spire1
Ah. So you've returned.|Ah. Alors tu es revenu.
SI|SI
US_Undertower|US_Undertower
Button East|Bouton Est
pearlcat_bottomshutter|pearlcat_bottomshutter
The Gutter|La gouttière
...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...vous avez le don de communiquer !<LINE>Peut-être avez-vous rendu visite à mon voisin, Five Pebbles... ?
To store, hold the same keybind with a pearl in your main hand|Pour ranger, tenez le même raccourci clavier avec une perle dans votre main principale
pearlpup_face|pearlpup_face
AS IS|COMME SI
Software|Logiciel
My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|Mes surveillants n'ont pas accepté votre arrivée - j'avais l'impression que le système de transport en commun était pratiquement inutilisable.
Ability Input|Entrée de capacité
Inventory Override?|Remplacer l'inventaire ?
Keybind to swap to the stored pearl to the right. Limited to Player 1.|Keybind pour passer à la perle stockée à droite. Limité au joueur 1.
min_tail_offset|min_tail_offset
pearlcat_clouds|pearlcat_clouds
Swap Left|Permuter à gauche
pup|chiot
Affirmer|Affirmant
<oA>|<oA>
pearlpup_head|pearlpup_head
T1_START|T1_START
Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|Chaque perle rouge fournit un laser supplémentaire - et oui, ces batflies sont TRÈS HOSTILES !
It appears to contain a hymn that once meant a lot to the inhabitants of my city...|Il semble contenir un hymne qui signifiait autrefois beaucoup pour les habitants de ma ville...
pearlcat_light0|pearlcat_light0
MS|SP
Laser Recharge Time|Temps de recharge laser
Another one? I shouldn't be surprised. Let's see...|Un autre? Je ne devrais pas être surpris. Voyons...
): swap out a pearl, or change the limit in the Remix options|) : échangez une perle ou modifiez la limite dans les options de remix
_AboveCloudsAtmosphereColor|_AboveCloudsAtmosphereColor
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|Nombre maximum de perles pouvant être stockées à la fois, y compris la perle active. La valeur par défaut est 9. Maintenez et faites glisser vers le haut ou vers le bas pour changer.
You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|Vous venez d'assez loin ? Vous pouvez communiquer avec nous, mais la marque que vous possédez m'est étrangère...
pearlpup_scarf|pearlpup_scarf
Pebbles_AS_PearlBlue|Galets_AS_PearlBlue
Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|Multiplicateur de pourcentage sur la visibilité générale de Pearlcat, influence l'attraction des prédateurs. Par défaut, Pearlcat est nettement plus visible que même Hunter.
OE|équipement d'origine
pearlcat_support|pearlcat_support
pearlcat_dusksky|pearlcat_dusksky
Sound Hooks Error:\n|Erreur de crochets audio :\n
pearlcatSleeve0|pearlcatSleeve0
Hold (GRAB) with an active common pearl to convert it into a pearl spear|Maintenez (GRAB) avec une perle commune active pour la transformer en perle lance
Scarf|Foulard
Agility Pearl Count|Nombre de perles d'agilité
Intended for fun,\nmay change gameplay significantly!|Conçu pour le plaisir,\npeut changer le gameplay de manière significative !
Debug|Déboguer
DM|DM
PFace|Visage
scholar|savant
haloGlyph5|haloGlyphe5
owner|propriétaire
My own time is limited, after all...|Mon temps est limité, après tout...
) with an active common pearl to convert it into a pearl spear|) avec une perle commune active pour la transformer en perle lance
