CANNOT PLAY\n|KANN NICHT SPIELEN\n
PLAYTESTERS|SPIELTESTER
pearlcat_spire1|pearlcat_spire1
Ah. So you've returned.|Ah. Sie sind also zurückgekehrt.
SI|SI
US_Undertower|US_Undertower
Button East|Knopf Ost
pearlcat_bottomshutter|pearlcat_bottomshutter
The Gutter|Die Dachrinne
...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...du hast die Gabe der Kommunikation!<LINE>Vielleicht hast du meinem Nachbarn Five Pebbles einen Besuch abgestattet...?
To store, hold the same keybind with a pearl in your main hand|Halten Sie zum Aufbewahren denselben Schlüsselbund mit einer Perle in Ihrer Haupthand
pearlpup_face|pearlpup_face
AS IS|WIE ES IST
Software|Software
My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|Meine Vorgesetzten haben sich mit Ihrer Ankunft nicht zufrieden gegeben – ich hatte den Eindruck, dass das Transportsystem größtenteils nicht funktionsfähig war.
Ability Input|Fähigkeitseingabe
Inventory Override?|Bestandsüberschreibung?
Keybind to swap to the stored pearl to the right. Limited to Player 1.|Mit einer Tastenkombination können Sie zur gespeicherten Perle rechts wechseln. Beschränkt auf Spieler 1.
min_tail_offset|min_tail_offset
pearlcat_clouds|pearlcat_clouds
Swap Left|Links tauschen
pup|Welpe
Affirmer|Bestätiger
<oA>|<oA>
pearlpup_head|Pearlpup_head
T1_START|T1_START
Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|Jede rote Perle liefert einen zusätzlichen Laser – und ja, diese Fledermausfliegen sind SEHR FEINDLICH!
It appears to contain a hymn that once meant a lot to the inhabitants of my city...|Es scheint eine Hymne zu enthalten, die einst den Bewohnern meiner Stadt viel bedeutete ...
pearlcat_light0|pearlcat_light0
MS|MS
Laser Recharge Time|Laser-Aufladezeit
Another one? I shouldn't be surprised. Let's see...|Noch einer? Ich sollte nicht überrascht sein. Mal sehen...
): swap out a pearl, or change the limit in the Remix options|): Tauschen Sie eine Perle aus oder ändern Sie das Limit in den Remix-Optionen
_AboveCloudsAtmosphereColor|_AboveCloudsAtmosphereColor
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|Maximale Anzahl Perlen, die gleichzeitig gespeichert werden können, einschließlich der aktiven Perle. Der Standardwert ist 9. Halten Sie gedrückt und ziehen Sie zum Ändern nach oben oder unten.
You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|Du kommst von weit her? Sie können mit uns kommunizieren, aber das Zeichen, das Sie besitzen, ist mir fremd ...
pearlpup_scarf|pearlpup_scarf
Pebbles_AS_PearlBlue|Pebbles_AS_PearlBlue
Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|Der prozentuale Multiplikator der allgemeinen Sichtbarkeit von Pearlcat beeinflusst die Anziehungskraft auf Raubtiere. Standardmäßig ist Pearlcat deutlich besser sichtbar als Hunter.
OE|OE
pearlcat_support|pearlcat_support
pearlcat_dusksky|pearlcat_dusksky
Sound Hooks Error:\n|Sound-Hooks-Fehler:\n
pearlcatSleeve0|pearlcatSleeve0
Hold (GRAB) with an active common pearl to convert it into a pearl spear|Halten Sie (GRAB) mit einer aktiven gewöhnlichen Perle gedrückt, um sie in einen Perlenspeer umzuwandeln
Scarf|Schal
Agility Pearl Count|Anzahl der Agilitätsperlen
Intended for fun,\nmay change gameplay significantly!|Zum Spaß gedacht,\nkann das Gameplay erheblich verändern!
Debug|Debuggen
DM|DM
PFace|PGesicht
scholar|Gelehrte
haloGlyph5|haloGlyph5
owner|Eigentümer
My own time is limited, after all...|Meine eigene Zeit ist schließlich begrenzt ...
) with an active common pearl to convert it into a pearl spear|) mit einer aktiven gewöhnlichen Perle, um sie in einen Perlenspeer umzuwandeln
To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|Um Perlen zu holen, haben Sie eine leere Haupthand und halten Sie (GRAB + UP) gedrückt.
...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|...Du hast... mich gefressen. Bitte geh weg. Ich werde nicht... mit dir reden.<LINE>Ich... KANN NICHT mit dir reden... weil... du... mich gefressen hast... ...und warum?
I very much enjoy the company though... you and your little friend are always welcome here.|Ich genieße die Gesellschaft jedoch sehr ... Sie und Ihr kleiner Freund sind hier immer willkommen.
When checked, disables the agility effect granted by an active pearl.|Wenn diese Option aktiviert ist, wird der durch eine aktive Perle gewährte Beweglichkeitseffekt deaktiviert.
When checked, disables the rage effect granted by an active pearl.|Wenn diese Option aktiviert ist, wird der Wuteffekt deaktiviert, der durch eine aktive Perle gewährt wird.
pearlcat_light1|pearlcat_light1
LC|LC
OE_|OE_
oa_max_dist|oa_max_dist
pearlcat_over9|pearlcat_over9
max_tail_offset|max_tail_offset
Press (|Drücken Sie (
Elliot|Elliot
LW_Tower|LW_Turm
T1_CAREND|T1_CAREND
Clearly an artifical creation. But from where? Sent by who?|Offensichtlich eine künstliche Schöpfung. Aber woher? Von wem gesendet?
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle.|Wenn diese Option aktiviert ist, wird der Bestand auf die angegebene Anzahl farbiger Perlen unter jedem Zyklus gesetzt.
Player 1|Spieler 1
DistantBkgObjectAlpha|DistantBkgObjectAlpha
AS-IS|WIE ES IST
) while in the air to perform a double jump|) in der Luft, um einen Doppelsprung auszuführen
oa_min_time|oa_min_time
puptail|Puppenschwanz
Ah, I hope you both stay safe out there...|Ah, ich hoffe, dass ihr beide da draußen in Sicherheit bleibt ...
Intended to make gameplay more challenging, may change gameplay significantly!|Soll das Gameplay anspruchsvoller machen, kann das Gameplay jedoch erheblich verändern!
.  .  .|. . .
face|Gesicht
Camo Pearl Count|Camo Pearl Count
VS|VS
US_Tower|US_Tower
I will tolerate your pressence, so long as you bring me something meaningful.|Ich werde deine Anwesenheit tolerieren, solange du mir etwas Sinnvolles bringst.
pearlcat_hudpearl|pearlcat_hudpearl
Menu|Speisekarte
Slugcat_Pearlcat_Sleep|Slugcat_Pearlcat_Sleep
_MultiplyColor|_MultiplyColor
0.0|0,0
When checked, disables the revive effect granted by an active pearl.|Wenn diese Option aktiviert ist, wird der Wiederbelebungseffekt deaktiviert, der durch eine aktive Perle gewährt wird.
pearlcat_spire8|pearlcat_spire8
Disable Camoflague Effect?|Camoflague-Effekt deaktivieren?
So curious...|So neugierig...
_atlases|_Atlanten
Hello! I remember you! I remember...|Hallo! Ich erinnere mich an dich! Ich erinnere mich...
ruffian|Grobian
Four! Well, if you insist...|Vier! Gut, wenn Sie darauf bestehen...
1.0.0|1.0.0
LOAD SAVE DATA IN PLAYER MODULE|SPEICHERDATEN IN PLAYER-MODUL LADEN
PEARLCAT PEBBLES MEETING: |PEARLCAT PEBBLES-TREFFEN:
When checked, the inventory HUD will be replaced with a more compact version.|Wenn diese Option aktiviert ist, wird das Inventar-HUD durch eine kompaktere Version ersetzt.
3: |3:
Pebbles_AS_PearlRed|Pebbles_AS_PearlRed
Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|Zeit in Frames, die der gelbe Perlenschild nach der Aktivierung benötigt, um sich wieder aufzuladen. Standardmäßig 40 Sekunden.
pearlactivehalo|perlaktivhalo
Yes, help yourself. They are not edible.|Ja, hilf dir selbst. Sie sind nicht essbar.
CC|CC
tail|Schwanz
Lolight2|Lolight2
I remember this one... don't you? Well...|Ich erinnere mich an dieses... nicht wahr? Also...
5|5
122626|122626
)|)
Disable Agility Effect?|Agilitätseffekt deaktivieren?
ear_r_offset|ear_r_offset
When checked, enables Pearlcat to carry a backspear.|Wenn diese Option aktiviert ist, kann Pearlcat einen Backspeer tragen.
Trigger Player|Trigger-Spieler
YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|GELB symbolisiert Schutz. Jede gespeicherte gelbe Perle liefert eine Schildladung
strings.txt|strings.txt
pearlcat_spire9|pearlcat_spire9
inventory_ui_offset|inventory_ui_offset
oa_max_time|oa_max_time
by|von
You... I didn't forget...|Du... ich habe es nicht vergessen...
oa_daze_max_speed|oa_daze_max_speed
\nCorridorClimb |\nKorridorAufstieg
Laser Windup TIme|Laser-Aufziehzeit
I would guess they will grow up into quite the scholar themself, someday...|Ich vermute, dass sie eines Tages selbst zu echten Gelehrten heranwachsen werden ...
BigGlyph8|BigGlyph8
Assembly-CSharp|Assembly-CSharp
NON-MSC|NICHT-MSC
LW_Grotto|LW_Grotte
Pearl Threat Music?|Pearl Threat Music?
Disable Cosmetics?|Kosmetik deaktivieren?
Button North|Knopf Nord
Grab a creature and hold (GRAB) with an active green pearl to revive them|Schnapp dir eine Kreatur und halte (GRAB) mit einer aktiven grünen Perle, um sie wiederzubeleben
Sidera |Sidera
Prefer to use the custom keybinds below for spear creation.|Verwenden Sie für die Speererstellung lieber die unten aufgeführten benutzerdefinierten Tastenkombinationen.
Noir |Noir
When checked, disables the shield effect granted by an active pearl.|Wenn diese Option aktiviert ist, wird der durch eine aktive Perle gewährte Schildeffekt deaktiviert.
Disable Spear Effect?|Speereffekt deaktivieren?
When checked, all tutorials will be disabled.|Wenn diese Option aktiviert ist, werden alle Tutorials deaktiviert.
daze_duration|daze_duration
I do enjoy the company though... it gets lonely out here.|Allerdings genieße ich die Gesellschaft ... hier draußen wird es einsam.
body|Körper
ACK|ACK
4: |4:
pearlactiveplaceholder|perlaktiver Platzhalter
\nThrowSkill |\nWurffähigkeit
pearlcat_spire2|pearlcat_spire2
Left Bumper|Linke Stoßstange
pearlcat_8|Pearlcat_8
pearlcat_3|Pearlcat_3
RW_Outro_Theme_B|RW_Outro_Theme_B
Charges are consumed to provide protection. Each pearl individually replenishes its charge after some time|Zur Gewährleistung des Schutzes werden Ladungen verbraucht. Jede Perle füllt ihre Ladung nach einiger Zeit einzeln wieder auf
pearlcat_hudcooldown|pearlcat_hudcooldown
Hello again.|Hallo wieder.
PEBBLESWAIT|PEBBLESWAIT
Extra Cheats|Zusätzliche Cheats
Button South|Knopf Süd
View|Sicht
License|Lizenz
When checked, Pearlcat's cosmetics will be disabled, intended to allow custom sprites via DMS. This does not include the pearls themselves.|Wenn diese Option aktiviert ist, werden die Kosmetika von Pearlcat deaktiviert, um benutzerdefinierte Sprites über DMS zu ermöglichen. Die Perlen selbst sind hiervon nicht betroffen.
pearlcat_spire4|pearlcat_spire4
pearlcatScarfA0|PearlcatScarfA0
Slugcat_Pearlcat|Slugcat_Pearlcat
I can only hope you have not come... to hurt me more.|Ich kann nur hoffen, dass du nicht gekommen bist, um mich noch mehr zu verletzen.
But it's best not to dwell on the past, don't you agree <PlayerName>?|Aber es ist am besten, nicht in der Vergangenheit zu verweilen, stimmst du nicht zu, <Spielername>?
DESTROY|ZERSTÖREN
Hide Pearls?|Perlen verstecken?
.NETFramework,Version=v4.8|.NETFramework,Version=v4.8
Cloak|Mantel
You have a knack for finding these pearls, yes?|Du hast ein Händchen dafür, diese Perlen zu finden, oder?
feet|Füße
I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|Ich nehme an, das Einzige, was Sie an diesen Perlen schätzen, ist die Reinheit ihres Gitters? Ich werde Sie durch ein viel raffinierteres ersetzen.
I see you've returned, yet again.|Wie ich sehe, bist du wieder zurückgekehrt.
q|Q
Basic|Basic
LF|LF
Start Shelter Override|Starten Sie Shelter Override
HologramBehindTerrain|HologramBehindTerrain
- Dialogue, SFX|- Dialog, SFX
TurtleMan27|TurtleMan27
T1_CAR0|T1_CAR0
Disable Revive Effect?|Wiederbelebungseffekt deaktivieren?
ModManager.RefreshModsLists:\n|ModManager.RefreshModsLists:\n
ear_l_offset|ear_l_offset
 - |-
AS|ALS
Hides the visuals of inactive peparls and turns you into... cat.|Versteckt die Optik inaktiver Perlen und verwandelt Sie in ... eine Katze.
\nRunspeedFac |\nRunspeedFac
Right Bumper|Rechte Stoßstange
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Anzahl der Agility-Perlen (blau). Nur wirksam, wenn Bestandsüberschreibung? wird geprüft.
Oracle Hooks Error:\n|Oracle-Hooks-Fehler:\n
Geahgeah |Geahgeah
...you can manipulate our storage medium in unforseen ways...|...Sie können unser Speichermedium auf unvorhergesehene Weise manipulieren...
