CANNOT PLAY\n|NÃO PODE JOGAR\n
PLAYTESTERS|JOGADORES DE TESTE
pearlcat_spire1|pearlcat_spire1
Ah. So you've returned.|Ah. Então você voltou.
SI|SI
US_Undertower|US_Undertower
Button East|Botão leste
pearlcat_bottomshutter|pearlcat_bottomshutter
The Gutter|A sarjeta
...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|...você tem o dom da comunicação!<LINE>Talvez você tenha visitado meu vizinho, Five Pebbles...?
To store, hold the same keybind with a pearl in your main hand|Para armazenar, segure o mesmo chaveiro com uma pérola na mão principal
pearlpup_face|pearlpup_face
AS IS|COMO É
Software|Programas
My overseers have made no peace over your arrival - I was under the impression the transit system was mostly inoperable.|Meus supervisores não fizeram as pazes com a sua chegada - eu tinha a impressão de que o sistema de trânsito estava quase inoperante.
Ability Input|Entrada de habilidade
Inventory Override?|Sobreposição de estoque?
Keybind to swap to the stored pearl to the right. Limited to Player 1.|Keybind para trocar para a pérola armazenada à direita. Limitado ao Jogador 1.
min_tail_offset|min_tail_offset
pearlcat_clouds|pearlcat_clouds
Swap Left|Trocar Esquerda
pup|cachorrinho
Affirmer|Afirmador
<oA>|<oA>
pearlpup_head|pearlpup_head
T1_START|T1_START
Each red pearl provides an additional laser - and yes, these batflies are VERY HOSTILE!|Cada pérola vermelha fornece um laser adicional - e sim, essas moscas são MUITO hostis!
It appears to contain a hymn that once meant a lot to the inhabitants of my city...|Parece conter um hino que já significou muito para os habitantes da minha cidade...
pearlcat_light0|pearlcat_light0
MS|EM
Laser Recharge Time|Tempo de recarga do laser
Another one? I shouldn't be surprised. Let's see...|Outro? Eu não deveria estar surpreso. Vamos ver...
): swap out a pearl, or change the limit in the Remix options|): troque uma pérola ou altere o limite nas opções Remix
_AboveCloudsAtmosphereColor|_AboveCloudsAtmosphereColor
Maximum number of pearls that can be stored at once, including the active pearl. Default is 9. Hold and drag up or down to change.|Número máximo de pérolas que podem ser armazenadas de uma só vez, incluindo a pérola ativa. O padrão é 9. Segure e arraste para cima ou para baixo para alterar.
You come from quite a distance? You can communicate with us, but the mark you possess is foreign to me...|Você vem de muito longe? Você pode se comunicar conosco, mas a marca que você possui é estranha para mim...
pearlpup_scarf|pearlpup_scarf
Pebbles_AS_PearlBlue|Pebbles_AS_PearlBlue
Percentage multiplier on Pearlcat's general visibility, influences predator attraction. By default, Pearlcat is significantly more visible than even Hunter.|O multiplicador de porcentagem na visibilidade geral do Pearlcat influencia a atração do predador. Por padrão, Pearlcat é significativamente mais visível do que Hunter.
OE|OE
pearlcat_support|pearlcat_support
pearlcat_dusksky|pearlcat_dusksky
Sound Hooks Error:\n|Erro de ganchos de som:\n
pearlcatSleeve0|pearlcatSleeve0
Hold (GRAB) with an active common pearl to convert it into a pearl spear|Segure (GRAB) com uma pérola comum ativa para convertê-la em uma lança de pérola
Scarf|Lenço
Agility Pearl Count|Contagem de pérolas de agilidade
Intended for fun,\nmay change gameplay significantly!|Destinado à diversão,\npode alterar significativamente a jogabilidade!
Debug|Depurar
DM|DM
PFace|Face
scholar|estudioso
haloGlyph5|haloGlyph5
owner|proprietário
My own time is limited, after all...|Afinal, meu próprio tempo é limitado...
) with an active common pearl to convert it into a pearl spear|) com uma pérola comum ativa para convertê-la em uma lança de pérola
To retrieve pearls, have an empty main hand, and hold (GRAB + UP)|Para recuperar as pérolas, mantenha a mão principal vazia e segure (GRAB + UP)
...You ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me... ...and why?|...Você comeu... eu. Por favor vá embora. Eu não vou falar... com você.<LINE>EU... NÃO POSSO falar com você... porque... você me comeu... ...e por quê?
I very much enjoy the company though... you and your little friend are always welcome here.|Mas eu gosto muito da companhia... você e seu amiguinho são sempre bem-vindos aqui.
When checked, disables the agility effect granted by an active pearl.|Quando marcado, desativa o efeito de agilidade concedido por uma pérola ativa.
When checked, disables the rage effect granted by an active pearl.|Quando marcado, desativa o efeito de raiva concedido por uma pérola ativa.
pearlcat_light1|pearlcat_light1
LC|CL
OE_|OE_
oa_max_dist|oa_max_dist
pearlcat_over9|pearlcat_over9
max_tail_offset|max_tail_offset
Press (|Imprensa (
Elliot|Elliot
LW_Tower|LW_Torre
T1_CAREND|T1_CAREND
Clearly an artifical creation. But from where? Sent by who?|Claramente uma criação artificial. Mas de onde? Enviado por quem?
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle.|Quando marcado, define o inventário para os números especificados de pérolas coloridas abaixo de cada ciclo.
Player 1|Jogador 1
DistantBkgObjectAlpha|DistantBkgObjectAlpha
AS-IS|COMO É
) while in the air to perform a double jump|) enquanto estiver no ar para realizar um salto duplo
oa_min_time|oa_min_time
puptail|rabo de cachorro
Ah, I hope you both stay safe out there...|Ah, espero que vocês dois fiquem seguros por aí...
Intended to make gameplay more challenging, may change gameplay significantly!|Destina-se a tornar a jogabilidade mais desafiadora, pode mudar significativamente a jogabilidade!
.  .  .|. . .
face|face
Camo Pearl Count|contagem de pérolas camufladas
VS|VS
US_Tower|US_Tower
I will tolerate your pressence, so long as you bring me something meaningful.|Vou tolerar sua presença, desde que você me traga algo significativo.
pearlcat_hudpearl|pearlcat_hudpearl
Menu|Cardápio
Slugcat_Pearlcat_Sleep|Slugcat_Pearlcat_Sleep
_MultiplyColor|_MultiplyColor
0.0|0,0
When checked, disables the revive effect granted by an active pearl.|Quando marcada, desativa o efeito de reviver concedido por uma pérola ativa.
pearlcat_spire8|pearlcat_spire8
Disable Camoflague Effect?|Desativar o efeito de camuflagem?
So curious...|Tão curioso...
_atlases|_atlas
Hello! I remember you! I remember...|Olá! Eu lembro de você! Eu lembro...
ruffian|rufião
Four! Well, if you insist...|Quatro! Bem, se você insiste...
1.0.0|1.0.0
LOAD SAVE DATA IN PLAYER MODULE|CARREGAR DADOS SALVAR NO MÓDULO DO JOGADOR
PEARLCAT PEBBLES MEETING: |REUNIÃO DE PEARLCAT PEBBLES:
When checked, the inventory HUD will be replaced with a more compact version.|Quando marcado, o HUD do inventário será substituído por uma versão mais compacta.
3: |3:
Pebbles_AS_PearlRed|Pebbles_AS_PearlRed
Time in frames the yellow pearl shield take to recharge after activating. Default 40 seconds.|Tempo em quadros que o escudo de pérola amarela leva para recarregar após a ativação. Padrão 40 segundos.
pearlactivehalo|halo perolado
Yes, help yourself. They are not edible.|Sim, sirva-se. Eles não são comestíveis.
CC|CC
tail|cauda
Lolight2|Lolight2
I remember this one... don't you? Well...|Eu me lembro deste ... não é? Bem...
5|5
122626|122626
)|)
Disable Agility Effect?|Desativar o efeito de agilidade?
ear_r_offset|ear_r_offset
When checked, enables Pearlcat to carry a backspear.|Quando marcada, permite que Pearlcat carregue uma lança traseira.
Trigger Player|Acionar jogador
YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|AMARELO simboliza proteção. Cada pérola amarela armazenada fornecerá uma carga de escudo
strings.txt|strings.txt
pearlcat_spire9|pearlcat_spire9
inventory_ui_offset|Inventory_ui_offset
oa_max_time|oa_max_time
by|por
You... I didn't forget...|Você... eu não esqueci...
oa_daze_max_speed|oa_daze_max_speed
\nCorridorClimb |\nCorridorClimb
Laser Windup TIme|Tempo de Corda do Laser
I would guess they will grow up into quite the scholar themself, someday...|Eu acho que eles vão crescer e se tornar um estudioso, algum dia...
BigGlyph8|BigGlyph8
Assembly-CSharp|Montagem-CSharp
NON-MSC|NÃO-MSC
LW_Grotto|LW_Gruta
