Swap Left|Поменять местами слева
Starting Inventory Override?|Запуск переопределения инвентаря?
The Gutter|Желоб
Button South|Кнопка Юг
hips|бедра
CC|CC
Software|Программное обеспечение
Disable Camoflague Effect?|Отключить эффект маскировки?
Keybind for Player 4.|Связка клавиш для игрока 4.
Disable Revive Effect?|Отключить эффект возрождения?
Keybind for Player 2.|Связка клавиш для игрока 2.
T1_S01|T1_S01
Number of revive pearls (green). Effective only when Inventory Override? is checked.|Количество оживляющих жемчужин (зеленых). Действует только при переопределении инвентаря? проверено.
tail|хвост
legs|ноги
MSC|МСК
When checked, the inventory HUD will be replaced with a more compact version.|При включении HUD инвентаря будет заменен на более компактную версию.
When checked, disables the agility effect granted by an active pearl.|Если флажок установлен, отключает эффект ловкости, предоставляемый активной жемчужиной.
SPECEVENT|СПЕЦИАЛЬНОЕ СОБЫТИЕ
<oA>|<оА>
GravityDisruptor|Разрушитель гравитации
\nDoes not save over the current inventory - it is returned to when unchecked.|\Не сохраняет поверх текущего инвентаря — возвращается, если флажок не установлен.
Disable Tutorials?|Отключить учебники?
body|тело
pup|щенок
Player 2|Игрок 2
Prefer to use the custom keybinds below for agility double jump.|Для двойного прыжка на ловкость лучше использовать приведенные ниже пользовательские сочетания клавиш.
Slugcat_Pearlcat_Sleep|Slugcat_Pearlcat_Sleep
Disable Rage Effect?|Отключить эффект ярости?
feet|ноги
pearlactivehalo|перламутровыйактивгало
 - |-
sweat|пот
CANNOT PLAY\n|НЕ МОЖЕТ ИГРАТЬ\n
T1_CAREND|T1_CAREND
Scarf|Шарф
T1_CAR2|T1_CAR2
\r\n|\r\n
Player 3|Игрок 3
Feet|Ноги
Number of spear creation pearls (white). Effective only when Inventory Override? is checked.|Количество жемчужин создания копья (белых). Действует только при переопределении инвентаря? проверено.
Revive Pearl Count|Возродить Жемчужину
Trigger Player|Триггерный игрок
Slugcat_Pearlcat|Slugcat_Pearlcat
When checked, some abilties will show the inventory when recharged or depleted.|Если флажок установлен, некоторые способности будут показывать инвентарь при зарядке или истощении.
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle.|Если этот флажок установлен, инвентарь устанавливается на указанное количество цветных жемчужин под каждым циклом.
Start Shelter Override|Начать переопределение убежища
T1_CAR0|T1_CAR0
Keybind for Player 3.|Связка клавиш для третьего игрока.
Cheats|Читы
Hips|Бедра
head|голова
 SAVE|СОХРАНЯТЬ
face|лицо
When checked, all tutorials will be disabled.|Если этот флажок установлен, все обучающие программы будут отключены.
)|)
SS_S04|SS_S04
Which player controller trigger swapping will apply to. 0 disables trigger swapping. Hold and drag up or down to change.|К какому триггеру контроллера проигрывателя будет применено переключение. 0 отключает перестановку триггеров. Удерживайте и перетащите вверх или вниз, чтобы изменить.
TEXT ERROR|ТЕКСТОВАЯ ОШИБКА
1.0.0|1.0.0
, |,
Disable Shield Effect?|Отключить эффект щита?
Keybind for Player 1.|Связка клавиш для игрока 1.
Failed to parse color {objectType} : {ex.Message}|Не удалось проанализировать цвет {objectType}: {ex.Message}
Number of rage pearls (red). Effective only when Inventory Override? is checked.|Количество жемчужин ярости (красных). Действует только при переопределении инвентаря? проверено.
Button East|Кнопка Восток
T1_CAR3|T1_CAR3
NON-MSC|НЕ-MSC
Prefer to use the custom keybinds below for spear creation.|Предпочитаю использовать пользовательские сочетания клавиш ниже для создания копья.
Swap Right|Поменять местами вправо
Number of shield pearls (yellow). Effective only when Inventory Override? is checked.|Количество щитовых жемчужин (желтых). Действует только при переопределении инвентаря? проверено.
pearlpup_scarf|жемчужный_шарф
When checked, disables the camoflague effect granted by an active pearl.|Если флажок установлен, отключает эффект маскировки, предоставляемый активной жемчужиной.
Enables custom keybinds below, as opposed to the default (UP + PICKUP).|Включает пользовательские сочетания клавиш ниже, в отличие от значения по умолчанию (UP + PICKUP).
\nPoleClimb |\nВосхождение на столб
scarf|шарф
When checked, disables the revive effect granted by an active pearl.|Если флажок установлен, отключает эффект возрождения, предоставляемый активной жемчужиной.
Pearlcat|Жемчужная кошка
Player 4|Игрок 4
\nCorridorClimb |\nПодъем по коридору
When checked, disables the shield effect granted by an active pearl.|Если флажок установлен, отключает эффект щита, предоставляемый активной жемчужиной.
Slugcat_Pearlcat_Ascended|Slugcat_Pearlcat_Ascended
Shield Pearl Count|Количество жемчужин щита
pearlpup_face|жемчужный_лицо
L-Stick|L-образный стержень
AS IS|КАК ЕСТЬ
Their curiosity insatiable, Pearlcat ventures out once more in<LINE>pursuit of expanding their collection|Из-за их ненасытного любопытства Жемчужная Кошка снова отправляется<LINE>в погоню за расширением своей коллекции.
Intended to make gameplay more challenging, may change gameplay significantly!|Предназначено для того, чтобы сделать игровой процесс более сложным, может значительно изменить игровой процесс!
Camo Pearl Count|Камуфляжный жемчуг
