pearlcatScarfA0|perlagatoBufandaA0
\r\n|\r\n
T1_CAR1|T1_COCHE1
Start Shelter Override|Iniciar anulación de refugio
Pearlpup Respawn?|¿Reaparición de Pearlpup?
pearlcat_light2|gatoperla_luz2
...one which still means a lot to me.|... uno que todavía significa mucho para mí.
Elliot|eliot
Player 4|jugador 4
Transit System|Sistema de tránsito
Efi|efi
pearlactive|perlaactiva
Cloak|Capa
CloudDistant|NubeDistante
Keybind for Keyboard.|Combinación de teclas para teclado.
NON-MSC|NO-MSC
YELLOW symbolizes protection. Each yellow pearl stored will provide a shield charge|AMARILLO simboliza protección. Cada perla amarilla almacenada proporcionará una carga de escudo.
Swap Input|Intercambiar entrada
ModManager.RefreshModsLists:\n|ModManager.RefreshModsLists:\n
oa_cutoff_dist|oa_cutoff_dist
I will tolerate your pressence, so long as you bring me something meaningful.|Toleraré tu presencia, siempre y cuando me traigas algo significativo.
LC_T1_S01|LC_T1_S01
I assure you it will be a more than suitable replacement for your primitive needs.|Te aseguro que será un reemplazo más que adecuado para tus necesidades primitivas.
3: |3:
When checked, sets the inventory to the specified numbers of coloured pearls below every cycle.|Cuando está marcado, establece el inventario en el número especificado de perlas de colores debajo de cada ciclo.
Debug|Depurar
.  .  .|. . .
-------------------|-------------------
_textures|_texturas
T1_START|T1_START
TEXT ERROR|ERROR DE TEXTO
Balagaga|Balagaga
T1_END|T1_END
Ability Input|Entrada de habilidad
I'm still more than happy to read any pearls you bring me;<LINE>especially given your unique abilities.|Todavía estoy más que feliz de leer cualquier perla que me traigas; <LINE> especialmente dadas tus habilidades únicas.
oa_min_speed|oa_min_velocidad
#|#
I already read this one. I can read it again, I suppose.|Ya leí este. Puedo leerlo de nuevo, supongo.
AS|COMO
\nCorridorClimb |\nSubir Corredor
ear_l_offset|oreja_l_offset
Chimney Canopy|Toldo de chimenea
1.0.0|1.0.0
Disable Camoflague Effect?|¿Deshabilitar el efecto de camuflaje?
...you have the gift of communication!<LINE>Perhaps you paid a visit to my neighbour, Five Pebbles...?|... ¡tienes el don de la comunicación! <LINE> ¿Tal vez le hiciste una visita a mi vecino, Five Pebbles...?
Hello again, <PlayerName>!|¡Hola de nuevo, <Nombre del jugador>!
4: |4:
Think of this mutually, I can 'see' a little further outside this can...|Piensen en esto mutuamente, puedo 'ver' un poco más allá de esta lata...
When checked, all tutorials will be disabled.|Cuando está marcado, todos los tutoriales estarán deshabilitados.
Press (JUMP + GRAB) while in the air to perform a double jump|Presiona (JUMP + GRAB) mientras estás en el aire para realizar un doble salto.
T1_CAR3|T1_CAR3
)|)
pearlactiveplaceholder|perlaactivamarcador de posición
Inventory Pings?|¿Pings de inventario?
pearlcat_dusksky|Pearlcat_dusksky
Keybind for Player 2.|Combinación de teclas para el jugador 2.
tail_segment_velocities|cola_segmento_velocidades
DESTROY|DESTRUIR
OnModsInit:\n|OnModsInit:\n
sleeve|manga
store_object_delay|store_object_delay
Trigger Player|Activar jugador
LOAD SAVE DATA IN PLAYER MODULE|CARGAR GUARDAR DATOS EN EL MÓDULO DE JUGADOR
Number of agility pearls (blue). Effective only when Inventory Override? is checked.|Número de perlas de agilidad (azul). ¿Efectivo solo cuando la anulación de inventario? está chequeado.
I suppose the only thing you value in these pearls is how pure their lattice is? I will substitute you with one much more refined than this.|Supongo que lo único que valoras en estas perlas es cuán pura es su red. Te sustituiré por uno mucho más refinado que este.
Assembly-CSharp|Asamblea-CSharp
_atlases|_atlas
pearlcat_structure1|perlacat_estructura1
